"associatedSequences","catalogNumber","collectedBy","collectedByID","collectionCode","collectionID","dataGeneralizations","dateIdentified","derivationEventID","derivationType","derivedFromMaterialEntityID","digitalSpecimenID","disposition","eventID","evidenceForOccurrenceID","higherClassificationName","higherClassificationRank","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifiedByID","informationWithheld","institutionCode","institutionID","isPartOfMaterialEntityID","materialCategory","materialEntityID","materialEntityRemarks","materialEntityType","materialReferences","objectQuantity","objectQuantityType","otherCatalogNumbers","ownerInstitutionCode","ownerInstitutionID","preparations","recordNumber","scientificName","taxonFormula","taxonID","taxonRank","taxonRemarks","typeDesignationType","typeStatus","typifiedName","verbatimIdentification","verbatimLabel"
"","RMNH.AVES.177951","","","","","","","","","","https://doi.org/TEST/ZZY-A4N-H2L","","b273abd2e553f01475a966216f65e6da","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.177951","","","","","","","","","egg (air dried)","","","","","","","","","","",""
"","ZMA.AVES.39914","","","","","","","","","","https://doi.org/TEST/ZZX-Y7W-RVZ","","fb022665d7e7b50d9fe1c2679e1bf343","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.39914","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.154818","","","","","","","","","","https://doi.org/TEST/ZZX-W7L-ZE3","","b3949456d8eaf0d48480ea1a2e578374","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.154818","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.72441","","","","","","","","","","https://doi.org/TEST/ZZX-TC5-KN7","","917d693421cf9e42ae836c078e92bacc","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.72441","","","","","","","","","skin (air dried)","","","","","","","","","","",""
"","RMNH.AVES.259619","","","","","","","","","","https://doi.org/TEST/ZZX-QRB-PAS","","520d3096003423bee04eddb55f873451","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259619","","","","","","","","","egg","","","","","","","","","","",""
"","RMNH.AVES.11006","","","","","","","","","","https://doi.org/TEST/ZZX-QDR-9M0","","a30e78815d9474aadd092bb56aa89d5e","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.11006","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.1206","","","","","","","","","","https://doi.org/TEST/ZZX-7KA-BZ3","","81bf9a95039423e7836d64e6542b0273","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.1206","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","ZMA.AVES.28059","","","","","","","","","","https://doi.org/TEST/ZZW-MMT-6HC","","81fbed52f62b082cf51095f6d52adbba","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.28059","","","","","","","","","Wing (study skin)","","","","","","","","","","",""
"","RMNH.AVES.35627","","","","","","","","","","https://doi.org/TEST/ZZW-LTR-613","","17dfe22938a1a839f406c87d96a1a87c","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.35627","","","","","","","","","skin (study skin)","","","","","","","","","","",""
"","RMNH.AVES.221191","","","","","","","","","","https://doi.org/TEST/ZZW-LN2-S9G","","3aa4bce1e743c51cf45dfad41b25362a","","","","","","","","","","","https://ror.org/0566bfb96","","","https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.221191","","","","","","","","","skin (study skin)","","","","","","","","","","",""
