"ACCESSURI","CREATEDATE","CREATOR","CREATORID","FORMAT","MEDIADESCRIPTION","MEDIAID","MEDIALANGUAGE","MEDIATYPE","MODIFIED","OWNER","RIGHTS","SOURCE","WEBSTATEMENT"
"https://medialib.naturalis.nl/file/id/RMNH.CRUS.D.35928/format/large","","","","image/jpeg","","https://doi.org/TEST/T9M-JE9-QBD","","StillImage","2025-01-30T13:57:44.014Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1177285_1/format/large","","","","image/jpeg","","https://doi.org/TEST/T8B-XGL-DS9","","StillImage","2025-01-28T08:54:47.694Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1177147_2/format/large","","","","image/jpeg","","https://doi.org/TEST/T6V-K9S-1B6","","StillImage","2025-01-28T08:55:59.300Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.303697_1/format/large","","","","image/jpeg","","https://doi.org/TEST/T2P-GH1-JSP","","StillImage","2025-01-28T08:50:00.812Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1560053_1/format/large","","","","image/jpeg","","https://doi.org/TEST/STY-GE5-36K","","StillImage","2025-01-28T08:52:30.090Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.347104_2/format/large","","","","image/jpeg","","https://doi.org/TEST/SHZ-488-X9T","","StillImage","2025-01-28T08:50:33.352Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.315738_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/SDL-QQN-HBG","","StillImage","2025-01-28T08:57:21.270Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.353293_0001/format/large","","","","image/jpeg","","https://doi.org/TEST/RVY-HAY-RZ7","","StillImage","2025-01-28T08:52:26.338Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1043159_1/format/large","","","","image/jpeg","","https://doi.org/TEST/RVG-DXX-PFY","","StillImage","2025-01-28T08:50:43.850Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1473487_1/format/large","","","","image/jpeg","","https://doi.org/TEST/RS3-YAD-L7Q","","StillImage","2025-01-28T08:54:48.533Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1345559_1/format/large","","","","image/jpeg","","https://doi.org/TEST/RNB-CNV-1FH","","StillImage","2025-01-28T08:54:23.901Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1007912_1/format/large","","","","image/jpeg","","https://doi.org/TEST/RBG-F4A-FBN","","StillImage","2025-01-28T08:50:24.931Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5164015_2/format/large","","","","image/jpeg","","https://doi.org/TEST/R54-WZE-E91","","StillImage","2025-01-28T08:57:51.196Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.VER.P.2632/format/large","","","","image/jpeg","","https://doi.org/TEST/R12-0L1-QQC","","StillImage","2025-01-30T09:49:02.835Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1472959_2/format/large","","","","image/jpeg","","https://doi.org/TEST/R0W-DW3-HMS","","StillImage","2025-01-28T08:52:48.739Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1335091_1/format/large","","","","image/jpeg","","https://doi.org/TEST/QZE-4HA-5ZZ","","StillImage","2025-01-28T08:50:41.381Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1345707_1/format/large","","","","image/jpeg","","https://doi.org/TEST/QKF-B6E-HCB","","StillImage","2025-01-28T08:55:24.392Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1347029_1/format/large","","","","image/jpeg","","https://doi.org/TEST/QHN-5BJ-NZP","","StillImage","2025-01-28T08:57:34.757Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.5152965_2/format/large","","","","image/jpeg","","https://doi.org/TEST/QAE-N64-NKS","","StillImage","2025-01-28T08:54:12.318Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.306707_1/format/large","","","","image/jpeg","","https://doi.org/TEST/Q9K-ZRG-SRJ","","StillImage","2025-01-28T08:57:29.174Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/ZMA.INS.1547673_1/format/large","","","","image/jpeg","","https://doi.org/TEST/Q3E-GYX-T80","","StillImage","2025-01-28T08:51:15.159Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
"https://medialib.naturalis.nl/file/id/RMNH.INS.1419795_1/format/large","","","","image/jpeg","","https://doi.org/TEST/Q1C-G2A-NVZ","","StillImage","2025-01-28T08:50:44.163Z","","http://creativecommons.org/publicdomain/zero/1.0/legalcode","",""
