"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","dataGeneralizations","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","informationWithheld","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1863-09-02","","d36479b758c34a90e45cde43c9a09059","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Ambon I.","","","","","","","","","","","","","","","","","","Molucca Islands","","","","","2/9/1863","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1901-05-20","","52693bc4e3603a34aff6fa508cf823a2","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","","","","","","","","","","","","","","","","","Preanger, Pangerango","","","","","20-05-1901","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1887-01-07","","a24a58425efbb2cb360d83c7019d985c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Oostzaan","","","","","","","","","","","","","","","","North Holland","","","","","7-1-1887","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1939-09-01","","72d37839606bd8421325b8bc3fd056eb","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Assen?","","","","","","","","","","","","","","","","","","","","","01-09-1939","","","","","","",""
"","","","Scotland","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1917-05-23","","1d2a8fb54766b2261abddf0bb621012e","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Glenwhen Moor [?]","","","","","","","","","","","","","","","","","","","","","23/5/1917","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1863-06-13","","7b8aac16e9a2e9482a739a39eb2a3c65","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Duinen bij Zandvoort","","","","","","","","","","","","","","","","North Holland","","","","","13-06-1863","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1915-08-20","","d1dc088969a83a6a5a94d169f0cd1f70","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Korintji, Sungai Kumbang","","","","","","","","","","","","","","","","","","","","","20-08-1915","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1906-02-22","","3d7279a9c627fc7cdeab210f167a130c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","Struiswijk","","","","","","","","","","","","","","","","Java, Batavia","","","","","22-02-1906","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1904-05-05","","c7eb992981e097ab2820aa030ce0abc1","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","","","","","","","","","","","","","","","","","Java, Preanger, district Palaboehan","","","","","05-05-1904","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1874-06-01/1874-06-30","","c1ec1d07ed4f8f0bfa6e065ae2f4911f","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Moluccas","","Halmahera I., central -","","","","","","","","","","","","","","","","","","","","","1-6-1874 - 30-6-1874","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1914-07-31","","fdd7a8ca79f15cb3c1ecf4108660f10a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Balun (Muara Labu)","","","","","","","","","","","","","","","","Sumatra, Pad. Bovenl.","","","","","31-07-1914","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1912-01-01/1916-12-31","","c53c6a85edce1f5c16c6789ecab63626","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Deli region [Medan area], NE Sumatra","","","","","","","","","","","","","","","","","","","","","1912-1916","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1930-12-02","","7ad9aa0e2692719a6bdceaa0f624d9aa","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Gronsveld bij Maastricht","","","","","","","","","","","","","","","","Limburg","","","","","02-12-1930","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1983-06-01/1983-06-30","","91808366bd2a9487d8a53ceefc3bde9a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Jan Mayen","","Jan Mayen, no further locality","","","","","","","","","","","","","","","","","","","","","1-6-1983 - 30-6-1983","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1914-12-14","","44becb67f268cd6375c3adc8924d5682","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","","","","","","","","","","","","","","","","","Padangse Bovenlanden","","","","","14-12-1914","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1934-02-11","","62d8b95c849f98d25e6680af99972ab9","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Malabai [?], West Kalimantan","","","","","","","","","","","","","","","","Kalimantan","","","","","11/2/1934","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1944-01-01/1945-12-31","","d5b790d6d6cf65511a1afaa9eaf2de52","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Buitenzorg","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1984-10-23","","7a33a3e2a05d1a618b9bef7f2005368c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Egmond aan Zee<>Bergen aan Zee, beach","","","","","","","","","","","","","","","","North Holland","","","","","23-10-1984","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1930-01-01/1939-12-31","","35b32bd89934c31c50fbe82db80789cb","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1930 - 1939","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1871-11-01/1871-11-30","","532b075514964116dc0a965c33356782","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Moluccas","","Halmahera I.","","","","","","","","","","","","","","","","","","","","","1-11-1871 - 30-11-1871","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","14/5/1890","","e14e803ac8efc4bbe47604d2f9fb8fb2","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Lisse","","","","","","","","","","","","","","","","South Holland","","","","","14/5/1890","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","b948bc0f258412b03b11f29df1c56c99","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Padang","","","","","","","","","","","","","","","","West Sumatera","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","b979f057cafac5ea873bba8be394fd95","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gelderland","","","","","","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1939-08-22","","590191db0711d7040b4156f3c8972872","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Bobairo aan Paniaimeer","","","","","","","","","","","","","","","","","","","","","22-08-1939","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1925-03-16/1925-03-17","","a1f2b28db4629a2146ce78a512b7aabb","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Schouwen-Duiveland","","Haamstede, vuurtoren","","","","","","","","","","","","","","","","Zeeland","","","","","16/17-3-1925","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","2004-05-09","","6340f00377985ac7cedcd7264aaae444","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Utrecht","","","","","","","","","","","","","","","","Utrecht","","","","","09-05-2004","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1939-05-23","","869bae0f72f28efc01dbc153bb87df70","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Celebes","","Soputan Mt. (800-1400 m), Langoan dist., Minahasa","","","","","","","","","","","","","","","","","","","","","23-5-1939","","","","","","",""
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1961-07-11","","c28404ab2de948d5993f6adc7c6dca1e","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Phedra","","","","","","","","","","","","","","","","Surinamriver","","","","","11-07-1961","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1891-06-15","","cd18f3be45d1cebe1d1979e19c8b59eb","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-6-1891","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","63aac45f49386f73fa9a5839ee1ec778","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","","","","","","","","","","","","","","","","","Z.W. Sumatra","","","","","","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1958-06-18","","3777b752dfb58889c02c07042e789c00","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Lesser Sunda Islands","","Flores I., Léwé","","","","","","","","","","","","","","","","","","","","","18/6/1958","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1934-04-12","","bf55c562254687453560359e749fa3ce","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Wassenaar","","","","","","","","","","","","","","","","","","","","","12-04-1934","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1927-11-23","","9c53d3a142a5079165fd7cb70a083ab4","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Overijssel","","","","","23-11-1927","","","","","","",""
"","","","Colombia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","1589ab96634be5eda4994a532ccc0095","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Kenya","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1977-03-07","","f04b7338ce1fae1c4852004961574d87","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Muumandu","","","","","","","","","","","","","","","","Machakos Dist.","","","","","07-03-1977","","","","","","",""
"","","","NETHERLANDS","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1928-07-01","","7101962ea84f32275b97c5f3f3db6530","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Wageningen","","","","","","","","","","","","","","","","Gelderland","","","","","1/7/1928","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1994-08-30","","7456900dcfa78af535ec41811b4524bd","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Hondsbossche Zeewering, pl 22","","","","","","","","","","","","","","","","North Holland","","","","","30-8-1994","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1919-10-30","","28417da8d74b9be5a2844acc8f6d7e88","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Residentie Palembang","","","","","","","","","","","","","","","","","","","","","30-10-1919","","","","","","",""
"","","","Russia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1856","","2bf2e0aa97bcdcfaa980761713987961","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Sarepta","","","","","","","","","","","","","","","","Zuid-Rusland","","","","","1856","","","","","","",""
"","","","Guatemala","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","624ea421e1235b4652d35ad13970b85c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Tanzania","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1984-04-02","","db9064203f843db6e35601b3e9690446","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Mwanza","","","","","","","","","","","","","","","","","","","","","02-04-1984","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","3ee4319e05c632f9b2da4db1800f59e5","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1951-09-11","","c2c766531c61f230b01c315dd6de0cf5","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Texel","","lighthouse Eijerland","","","","","","","","","","","","","","","","North Holland","","","","","11-9-1951","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1968-05-30","","2579067cfc08f815f453e6f184b503df","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Yandanooka","","","","","","","","","","","","","","","","W. Australië","","","","","30-05-1968","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1975-10-14","","0d53183cd445c8fc68b04ec9e601eb21","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Amsterdam","","","","","","","","","","","","","","","","North Holland","","","","","14-10-1975","","","","","","",""
"","","","Angola","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1887-01-12","","b5e8b8e2bb87e139f188dd38abb5229c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Kakelli","","","","","","","","","","","","","","","","Rivier Koeloe-ei","","","","","12-01-1887","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","b76491d6314291c2c2d1596bc1f009e7","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Borneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","India","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","c548f8fb472b2fb9d8fa69b488f80481","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Darjeeling","","","","","","","","","","","","","","","","West Bengal","","","","","","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1867-06-01/1867-06-30","","49a3727cbb56e1410e3ac36d5b29c7b5","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Misol","","","","","","","","","","","","","","","","","","","","","","","June 1867","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1915-01-01/1920-12-31","","3475720e86b33686f0f2d804d6cb9436","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Bandarbaru (1000 m), in Batak Mts.","","","","","","","","","","","","","","","","","","","","","1915-1920","","","","","","",""
"","","","Brazil","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","12a1db7b825f56f7e72005a5d0efcd68","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1964-10-03","","4902e4248d4c98bf61e5be75448b15d0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Hallum, Noorderleeg","","","","","","","","","","","","","","","","Friesland","","","","","3-10-1964","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1901-01-01/1901-12-31","","38c164b68f38876e2af065d3779be574","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Deli region [at Batangkuis Estate]","","","","","","","","","","","","","","","","","","","","","1901","","","","","","",""
"","","","United States","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1872-05-02","","2c8a9d149546f3c5c8b6973d78a50ce6","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Cambridge","","","","","","","","","","","","","","","","Massachusetts","","","","","02-05-1872","","","","","","",""
"","","","Peru","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","c9c57d290724923dafe6f05962e71282","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Germany","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1924-12-14","","c1e4daa5d4961225e531c1ad6138a54c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Reipzig bij Frankfurt a/O","","","","","","","","","","","","","","","","","","","","","14-12-1924","","","","","","",""
"","","","Belgium","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1962-04-25","","8ae84936303d9e20136bb68d6e250027","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","St Pietersberg, Caester estate","","","","","","","","","","","","","","","","Limburg","","","","","25-4-1962","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1919-12-24","","80619d9c5b269b52fee3fc614a7c5009","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Sumatra","","Sungei Tasik, NE Sumatra","","","","","","","","","","","","","","","","","","","","","24-12-1919","","","","","","",""
"","","","Tanzania","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1965-10-07","","5fd5630498ee729894611c8666c0ef7a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Mikindani","","","","","","","","","","","","","","","","Mtwara Distr.","","","","","07-10-1965","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1909-06-04","","6ad52a774ce419083ee5be3fdc0ca244","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Kampereiland","","","","","","","","","","","","","","","","Overijssel","","","","","4/6/1909","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1861-09-01/1861-09-30","","84f03930d7466245a87946d65885e80a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Morotai","","","","","","","","","","","","","","","","","","","","","","","September 1861","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1907-10-26","","f7edc38bab2bd0a97dee010f5e00362d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Zoeterwoude","","","","","","","","","","","","","","","","","","","","","26-10-1907","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1985-08-29","","23b0368a823d4c7b0f6ec4488d2838cc","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","IJsselmeer, Mokkebank","","","","","","","","","","","","","","","","Friesland","","","","","29-8-1985","","","","","","",""
"","","","Trinidad & Tobago","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1954-02-05","","8d2918b0f2c1f219ed995190d099b5ce","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Trinidad","","","","","","","","","","","","","","","","","","","","","","","05-02-1954","","","","","","",""
"","","","United States","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1878-05-07","","d909b8fa169b3a6272454f94a6c0b1a7","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Chicago","","","","","","","","","","","","","","","","Illinois","","","","","07-05-1878","","","","","","",""
"","","","India","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1930-07-22","","723b966b9ad51cfa9b600859a67e855d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Khardong Valley","","","","","","","","","","","","","","","","Ladakh","","","","","22-7-1930","","","","","","",""
"","","","Philippines","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","dda1d75f483e5d80b6342d641601c187","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","5-9-1971","","426c003cd419b4210d128ae5199cdaf0","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Oostvaardersdijk marshes","","","","","","","","","","","","","","","","Flevoland","","","","","5-9-1971","","","","","","",""
"","","","Australia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1887-07-18","","ebfa65327f306606b1a14c62009e808a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","sine loco [Australia]","","","","","","","","","","","","","","","","","","","","","18-7-1887","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1937-08-06","","b0559fce5e51fb668a24d5d0dc7aa647","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Barneveld","","","","","","","","","","","","","","","","Gelderland","","","","","6-8-1937","","","","","","",""
"","","","Taiwan","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1968-06-23","","d68f9be7f4e10f5722ffab1661c9b9aa","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Pei Shan Kun","","","","","","","","","","","","","","","","","","","","","23-06-1968","","","","","","",""
"","","","Mexico","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1885-04-14","","428fec4cf96f89aa5100dd71d1394869","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","sine loco [W Mexico]","","","","","","","","","","","","","","","","","","","","","14-4-1885","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1969-09-06","","efcc415ccec10d0ca570f7430ab045c7","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Flores","","Rahong","","","","","","","","","","","","","","","","","","","","","06-09-1969","","","","","","",""
"","","","Japan","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1949-11-02","","58c6d17502a6c7cd7ff5e550d056eaf6","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Izu Islands","","Hachijo-jima I.","","","","","","","","","","","","","","","","","","","","","2-11-1949","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","10/6/1861","","2b45ac37b9a47c6c414aa08ce2f16f02","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Santpoort, Neethof forest","","","","","","","","","","","","","","","","North Holland","","","","","10/6/1861","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1962-03-26","","875228611b243acc07c9f1141661474f","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Hoogland","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Brazil","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1823-08-23","","6ed083892791b767e35c9e0ae82b43ea","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Goias","","","","","23/8/1823","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-01-05","","d23192858c4cfa7c29318997b9b70b18","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Buitenzorg","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1917-01-30","","b3f7417dadecb7c7decf04d5f2fcc87f","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Aalsmeer","","","","","","","","","","","","","","","","North Holland","","","","","30-01-1917","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","Date ± 4 days","","ff70b0e41ac179306efcd31591c64861","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Serooskerke, Schouwen","","","","","","","","","","","","","","","","Zeeland","","","","","Date ± 4 days","","","","","","",""
"","","","Surinam","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1969-01-19","","181b633bf3d5a3d1857f0c826f51b2b2","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brokopondo","","","","","19-01-1969","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1966-10-15","","74be1fb212b5af482cb71b85a5f8b85b","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","North Sea, lightship 'Texel', 25 km off","","","","","","","","","","","","","","","","North Sea","","","","","15-10-1966","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","db718529dd5b49b64bd230dd6bd41a7e","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Celebes","","","","","","","","","","","","","","","","","","Minahassa","","","","","","","","","","","",""
"","","","The Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1930-01-01/1930-12-31","","115a4b01e276d5f7d8c43fd5deb21498","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1930","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1912-06-12","","3c8b373b20533dd698f12ed39238d73d","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Zoeterwoude","","","","","","","","","","","","","","","","","","","","","12-06-1912","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1980-10-19","","6cb8a68e24e2bcd733cc818e85345d73","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Waterland-Oost","","","","","","","","","","","","","","","","North Holland","","","","","19-10-1980","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1972-09-25","","eaca64dfca4d41be829a09ceab9ae91a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Vlieland I., Oude Kooi","","","","","","","","","","","","","","","","Friesland","","","","","","","","","","","",""
