"continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","dataGeneralizations","datasetID","datasetName","day","decimalLatitude","decimalLongitude","endDayOfYear","eventCategory","eventConductedBy","eventConductedByID","eventDate","eventEffort","eventID","eventReferences","eventRemarks","eventTime","eventType","fieldNotes","fieldNumber","footprintSpatialFit","footprintSRS","footprintWKT","geodeticDatum","georeferencedBy","georeferencedByID","georeferencedDate","georeferenceProtocol","georeferenceProtocolID","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherGeography","higherGeographyID","informationWithheld","island","islandGroup","locality","locationID","locationRemarks","maximumDepthInMeters","maximumDistanceAboveSurfaceInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumDistanceAboveSurfaceInMeters","minimumElevationInMeters","month","municipality","parentEventID","pointRadiusSpatialFit","preferredEventName","preferredSpatialRepresentation","startDayOfYear","stateProvince","verbatimCoordinates","verbatimCoordinateSystem","verbatimDepth","verbatimElevation","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","verticalDatum","waterBody","year"
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1900-03-28","","b273abd2e553f01475a966216f65e6da","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Suriname, no further locality","","","","","","","","","","","","","","","","","","","","","28/3/1900","","","","","","",""
"","","","USA","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1895-03-11","","fb022665d7e7b50d9fe1c2679e1bf343","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","California, no further locality","","","","","","","","","","","","","","","","California","","","","","11-3-1895","","","","","","",""
"","","","Turkestan","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1905-08-20","","b3949456d8eaf0d48480ea1a2e578374","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Karakolskoje Schlucht","","","","","","","","","","","","","","","","","","","","","20-08-1905","","","","","","",""
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1972-10-09","","917d693421cf9e42ae836c078e92bacc","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Tafelberg","","","","","","","","","","","","","","","","","","","","","09-10-1972","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","520d3096003423bee04eddb55f873451","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1908-09-21","","a30e78815d9474aadd092bb56aa89d5e","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","Moeara Karang, Batavia","","","","","","","","","","","","","","","","","","","","","21-09-1908","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","81bf9a95039423e7836d64e6542b0273","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","sine loco [N South America]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1974-05-01","","81fbed52f62b082cf51095f6d52adbba","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Texel","","lighthouse Eijerland","","","","","","","","","","","","","","","","North Holland","","","","","1-5-1974","","","","","","",""
"","","","Suriname","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1964-02-13","","17dfe22938a1a839f406c87d96a1a87c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Peperpot","","","","","","","","","","","","","","","","Suriname Rivier","","","","","13-02-1964","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1911-09-22","","3aa4bce1e743c51cf45dfad41b25362a","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Texel","","","","","","","","","","","","","","","","","","","","","","","22-09-1911","","","","","","",""
"","","","Russia (European)","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1931-06-07","","b2c8853996369e793aed49ae7bfe5460","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Salmiyarvi, Pechenga area","","","","","","","","","","","","","","","","Murmansk","","","","","7/6/1931","","","","","","",""
"","","","Rhodesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1964-10-28","","6d5ee94b1d9b9736dd205ae7bb2964cc","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inyanga Nat. Park, bos boven Pungwe Ravijn","","","","1800 m","","","","","","","",""
"","","","","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","","","e6982a32f54ee5cdb3be739a073c543c","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hindoestan","","","","","","","","","","","",""
"","","","Indonesia","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1922-08-11","","60770a02320e6a1c2abb553416abae59","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","Java","","","","","","","","","","","","","","","","","","Pangerango","","","","","11-08-1922","","","","","","",""
"","","","Netherlands","","","","","Naturalis Biodiversity Center (NL) - Aves","","","","","","","","1977-07-07","","f12c2b648ff46ce46a580c505aed2880","","","","Collecting Event","","","","","","WGS84","","","","","","","","","","","","","","","Hoofddorp, boomgaard","","","","","","","","","","","","","","","","North Holland","","","","","7/7/1977","","","","","","",""
