"agentID","agentRole","agentRoleDate","agentRoleIRI","agentRoleOrder","agentRoleVocabulary","eventID"
"f824f24109c2be10226696dccd00e243","collector","","","","","b71454c5c5e94186a3cb5a5884a75800"
"9c7aba038f9ea0f948cc367188776394","collector","","","","","fa65a6c23754910417e602744b0da816"
"3f1cc9cb869f3cd1dd5bdf18711e507b","collector","","","","","d0920e07a70131ec46e06774edbdbfb9"
"e4960e4d301077abeec7fc8ae381c33c","collector","","","","","2829ddececf9f0b0a4cf032c98945f1b"
"7fe3d5e8d020f6e76b5ed33e27b0186a","collector","","","","","97c11c9ddd1ac6e987392830e3d01363"
"2481beb319f7a61ad927543697504dae","collector","","","","","f6602a525843b53f7faa253b42f0b6fa"
"3d79087a37a1086e36679ec41754c866","collector","","","","","ced8d9e053032b7e81479daab4e8e836"
"875288d86ca8f483ba817f75cc794ecd","collector","","","","","53deae8cd173f6c2d6559f005523a0d0"
"b62e3bcaaf4718e10a3475e55f8a6315","collector","","","","","53deae8cd173f6c2d6559f005523a0d0"
"d1aef076413c68b687ca751c69c9951e","collector","","","","","96018ba138454eeb34cf163c1c923678"
"58e2b3cd641a42dda7eb1a87d7086449","collector","","","","","e139eb5ff7a6d27189f252c429bf8a22"
"e7a69dd16de0789d1a8ed732f15e2245","collector","","","","","814f03a207c8ee41c2febbbca934aa46"
"c7f5348299f6a77270841ea78164d80d","collector","","","","","d4a4154379d582062b9cb4d6388f858c"
"30f7555fa673cef27d438798ca9a99c1","collector","","","","","5c5205c6928e97e16890c8a5d6e2a900"
"7924b0502cb8dfd10209776ff1fabf30","collector","","","","","6fdf1be4922863b9aa20f7abe906501c"
"edd963935eddfd5ac7a457c4737fe191","collector","","","","","5ad7ee0e51c8b58d82d05e9eac0cae2a"
"e5cfefe343069fdcf2f22bc3f5be16b5","collector","","","","","2f3a01ebc4f16dad8b0a4fc4cc6f48fa"
"875288d86ca8f483ba817f75cc794ecd","collector","","","","","b273abd2e553f01475a966216f65e6da"
"b62e3bcaaf4718e10a3475e55f8a6315","collector","","","","","b273abd2e553f01475a966216f65e6da"
"60f01f0d1340345a48564e758fb7f3e2","collector","","","","","917d693421cf9e42ae836c078e92bacc"
"6201262ee510264a7cccd61895003a98","collector","","","","","520d3096003423bee04eddb55f873451"
"d660ee1044e6d6994fe87e5a7c7568be","collector","","","","","a30e78815d9474aadd092bb56aa89d5e"
"70eb5f08be66b0d2bf0e15626c2b8b38","collector","","","","","81fbed52f62b082cf51095f6d52adbba"
"2020abc2d7c86e802a8cb8dfc7fbda0b","collector","","","","","17dfe22938a1a839f406c87d96a1a87c"
"eceb441e6e13d89fc5579979a4c6480c","collector","","","","","3aa4bce1e743c51cf45dfad41b25362a"
"9c7aba038f9ea0f948cc367188776394","collector","","","","","b2c8853996369e793aed49ae7bfe5460"
"63b884c3774703057109ba84133ae2fc","collector","","","","","60770a02320e6a1c2abb553416abae59"
"8743acbb87d65809a713159af3ce5224","collector","","","","","f12c2b648ff46ce46a580c505aed2880"
"875288d86ca8f483ba817f75cc794ecd","collector","","","","","bef689f391a6cc67048fd72e51f2e97a"
"b62e3bcaaf4718e10a3475e55f8a6315","collector","","","","","bef689f391a6cc67048fd72e51f2e97a"
"60f01f0d1340345a48564e758fb7f3e2","collector","","","","","6d5ee94b1d9b9736dd205ae7bb2964cc"
"63d6ee1410e449fdc150f6a68ffb0fb4","collector","","","","","c9ffcb0a6757b5e54774f82a73766991"
"d3720c2f8f536c8d57740c3cf1ff22e6","collector","","","","","c9ffcb0a6757b5e54774f82a73766991"
"126d697a85e01f570533183093a19a9e","collector","","","","","2335117f0e59703c5dcefb25a770ac76"
"9c7aba038f9ea0f948cc367188776394","collector","","","","","5489b00dea715f402fd66956a422785a"
"71958ea28a1b74c80ccd41c3544c8035","collector","","","","","8c141aa77eef94f51572a62845d749aa"
