"AGENTID","AGENTTYPE","AGENTTYPEIRI","AGENTTYPEVOCABULARY","PREFERREDAGENTNAME"
"628945722","schema:Person","","https://schema.org/agent","K.N.N."
"-310726606","schema:Person","","https://schema.org/agent","W. Oord"
"-817787541","schema:Person","","https://schema.org/agent","S. de Boer"
"1838736424","schema:Person","","https://schema.org/agent","coll. BalfourvanBurleigh Utrecht."
"-847336451","schema:Person","","https://schema.org/agent","Det.A.Aalders"
"-140977879","schema:Person","","https://schema.org/agent","v. Aartsen"
"-1269568636","schema:Person","","https://schema.org/agent","Leg. P.P. Parab 24-10-1988"
"1747247609","schema:Person","","https://schema.org/agent","Bedford and Lanchester"
"-1901081285","schema:Person","","https://schema.org/agent","C. Doets"
"-1496349940","schema:Person","","https://schema.org/agent","Ebely"
"984572952","schema:Person","","https://schema.org/agent","Swennen C."
"-547620757","schema:Person","","https://schema.org/agent","van den Broek E."
"-1781493487","schema:Person","","https://schema.org/agent","Lempke B.J."
"-1570471952","schema:Person","","https://schema.org/agent","W.J. v. Rooijen"
"1925696064","schema:Person","","https://schema.org/agent","Coll.:G.J. Slob"
"-1919312445","schema:Person","","https://schema.org/agent","A.J. BUIS"
"-1992675471","schema:Person","","https://schema.org/agent","Redet.: D.J.G.Griffin"
"-1220228693","schema:Person","","https://schema.org/agent","H. Tranter 07-1976 (T. gracilis: ??)"
"1377718859","schema:Person","","https://schema.org/agent","J.A.W. Lucas"
"1112645862","schema:Person","","https://schema.org/agent","J.B. Wolschrijn"
"728248252","schema:Person","","https://schema.org/agent","coll. HUISMAN"
"-428198529","schema:Person","","https://schema.org/agent","collectie A.J.BUIS"
"84720530","schema:Person","","https://schema.org/agent","pater Amadeus Alma"
"1219459368","schema:Person","","https://schema.org/agent","Wolschrijn J.B."
"-1563090535","schema:Person","","https://schema.org/agent","L."
"747278273","schema:Person","","https://schema.org/agent","Moonen"
"1830900948","schema:Person","","https://schema.org/agent","W. F. Prud'homme van Rein and C. Berczy"
"1953177120","schema:Person","","https://schema.org/agent","C.H. ter Laag"
"1290074014","schema:Person","","https://schema.org/agent","H. C. C. NEYTS"
"1852441166","schema:Person","","https://schema.org/agent","Tydeman Expeditie S. v.d. Spoel."
"-1634938774","schema:Person","","https://schema.org/agent","Platvoet D."
"-706779554","schema:Person","","https://schema.org/agent","v. Rooijen W.J."
"-1361597156","schema:Person","","https://schema.org/agent","Vos A.P.C. De"
"1314705304","schema:Person","","https://schema.org/agent","Ph. Planeix"
"512823107","schema:Person","","https://schema.org/agent","Eisner"
"-1043045110","schema:Person","","https://schema.org/agent","R. Straatman"
"-1559670553","schema:Person","","https://schema.org/agent","oud."
"1579055789","schema:Person","","https://schema.org/agent","Det: v. E"
"409142009","schema:Person","","https://schema.org/agent","Aukema"
"1373755211","schema:Person","","https://schema.org/agent","Moonen J. (Jan)"
"264363111","schema:Person","","https://schema.org/agent","Coll. C.Doets"
"572505237","schema:Person","","https://schema.org/agent","J.H. Stock coll. MAU 23"
"1951769157","schema:Person","","https://schema.org/agent","Dr. T. Imamura"
"950766849","schema:Person","","https://schema.org/agent","Mr. Y. Morimoto"
"-1577743530","schema:Person","","https://schema.org/agent","Zool. Stat. Den Helder"
"429781006","schema:Person","","https://schema.org/agent","W Siel leg. HC Siebers don"
"2075931870","schema:Person","","https://schema.org/agent","S. Gorgin"
"-351264414","schema:Person","","https://schema.org/agent","L.B. Holthuis. 1992"
"1279623161","schema:Person","","https://schema.org/agent","leg. J. Burgers"
"-543474072","schema:Person","","https://schema.org/agent","M.A. Lieftinck"
"1625270929","schema:Person","","https://schema.org/agent","leffef"
"959084627","schema:Person","","https://schema.org/agent","L. B. Holthuis"
"138724362","schema:Person","","https://schema.org/agent","j.o. popijus"
"-1057258190","schema:Person","","https://schema.org/agent","W.J. Boer Leffef"
"1251386378","schema:Person","","https://schema.org/agent","Coll. P. van den Brand"
"-1563092874","schema:Person","","https://schema.org/agent","?"
"85262238","schema:Person","","https://schema.org/agent","G.v.d.Meulen Jr"
"-1563090349","schema:Person","","https://schema.org/agent","R."
"1933640125","schema:Person","","https://schema.org/agent","E. de Jong"
"-1449990543","schema:Person","","https://schema.org/agent","G. J. v. Rossum"
"1965713507","schema:Person","","https://schema.org/agent","Nieuwenhuis"
"-200711443","schema:Person","","https://schema.org/agent","Burkenroad M.D."
"108607163","schema:Person","","https://schema.org/agent","M. Jansen"
"-1036905359","schema:Person","","https://schema.org/agent","K.N. Nieuwland"
"1615737875","schema:Person","","https://schema.org/agent","Vet. Fac. Pathology"
"-851851698","schema:Person","","https://schema.org/agent","Cremers H."
"-1788743748","schema:Person","","https://schema.org/agent","Stiasny"
"-1260500919","schema:Person","","https://schema.org/agent","M. Melchior"
"-1570931070","schema:Person","","https://schema.org/agent","Coll. FLINT"
"697781846","schema:Person","","https://schema.org/agent","D. v. KATWIJK"
"-78365851","schema:Person","","https://schema.org/agent","Coll. G.C.van Lettow"
"-1653153212","schema:Person","","https://schema.org/agent","Dr. L. Eger"
"401959844","schema:Person","","https://schema.org/agent","Delta Instituut Yerseke"
"-1378495422","schema:Person","","https://schema.org/agent","Lindemans"
"405862462","schema:Person","","https://schema.org/agent","P.H. van de Pol"
"-2101056464","schema:Person","","https://schema.org/agent","E.J. Nieuwenhuis"
"-150525645","schema:Person","","https://schema.org/agent","G.J. Padding"
"-972040757","schema:Person","","https://schema.org/agent","JH Stock"
"1238230728","schema:Person","","https://schema.org/agent","S Pinkster"
"229092927","schema:Person","","https://schema.org/agent","Coll. G. J. FLINT"
