"higherClassificationName","higherClassificationRank","identificationID","scientificName","taxonID","taxonRank","taxonRemarks","taxonSortOrder"
"Animalia","dwc:kingdom","b62d9e4d2374834b08acccd990c193b1","Columba Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/3SMP","GENUS","",""
"Animalia","dwc:kingdom","d1f9a3993dcb2b0edb97793fd4481ca3","Phylloscopus ruficapilla johnstoni (W. L. Sclater, 1927)","https://www.catalogueoflife.org/data/taxon/BNVDW","SUBSPECIES","",""
"Animalia","dwc:kingdom","6182396a458d46164a41456aa862610b","Spatula clypeata (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/9HKHD","SPECIES","",""
"Animalia","dwc:kingdom","3130a3cbb0c9c006e1ca6f5b3b97727f","Lonchura oryzivora (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3VYFC","SPECIES","",""
"Animalia","dwc:kingdom","0bf95363f4852fa97fc8b752e78e7eff","Vanellus vanellus (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/7FFJL","SPECIES","",""
"Animalia","dwc:kingdom","acf709b71680de912b9c0828f2b6520c","Bombycilla cedrorum Vieillot, 1808","https://www.catalogueoflife.org/data/taxon/MFZ9","SPECIES","",""
"Animalia","dwc:kingdom","e2b8d3500aad14d5e20d7dbe0f0976bf","Rhipidura javanica javanica (Sparrman, 1788)","https://www.catalogueoflife.org/data/taxon/BNYX4","SUBSPECIES","",""
"Animalia","dwc:kingdom","0cb75799ad2603d9044e7b7260ed5a1b","Ploceus velatus Vieillot, 1819","https://www.catalogueoflife.org/data/taxon/4KH9P","SPECIES","",""
"Animalia","dwc:kingdom","bfb3e4f683bc6af08e547e0d71e4b8db","Garrulus glandarius glandarius (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNGCJ","SUBSPECIES","",""
"Animalia","dwc:kingdom","5dae0e5df4e6522a6c80a45727e57743","Cymbirhynchus macrorhynchos macrorhynchos (Gmelin, 1788)","https://www.catalogueoflife.org/data/taxon/BNB76","SUBSPECIES","",""
