"MATERIALENTITYID","MEDIAID","MEDIASUBJECTCATEGORY","MEDIASUBJECTCATEGORYIRI","MEDIASUBJECTCATEGORYVOCABULARY"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.89301","https://doi.org/TEST/4NK-VSY-ZY0","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18560","https://doi.org/TEST/9GP-07X-Q2M","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.18560","https://doi.org/TEST/3DG-ZML-6BW","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.33281","https://doi.org/TEST/TET-B2R-Y49","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.33281","https://doi.org/TEST/AQH-39R-07T","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131995","https://doi.org/TEST/17E-0PL-S43","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131995","https://doi.org/TEST/F4V-M6W-T1B","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131263","https://doi.org/TEST/DQJ-KBR-RTJ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.131263","https://doi.org/TEST/PJ3-DXT-VSA","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.93191","https://doi.org/TEST/55M-VJ5-2TS","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.93191","https://doi.org/TEST/DYQ-124-BB4","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.92316","https://doi.org/TEST/B2Q-KCT-36K","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.92316","https://doi.org/TEST/BL3-PCX-JT1","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.54388","https://doi.org/TEST/W6J-Y5M-6VQ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.54388","https://doi.org/TEST/BDA-G0Y-KXL","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.124655","https://doi.org/TEST/SAW-BJ1-PQG","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.124655","https://doi.org/TEST/Y3M-DYX-32L","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.90239","https://doi.org/TEST/REN-8ME-M0Z","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.90239","https://doi.org/TEST/YBP-1ZD-69R","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.90239","https://doi.org/TEST/QHK-P2K-1BS","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58274","https://doi.org/TEST/GJC-3TH-9BE","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.58274","https://doi.org/TEST/1K8-D87-EKB","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.44228","https://doi.org/TEST/WWR-SLS-MAX","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.44228","https://doi.org/TEST/LLZ-XRT-JPF","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132593","https://doi.org/TEST/452-5DY-KXH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.132593","https://doi.org/TEST/D3Q-MXA-0RF","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.121385","https://doi.org/TEST/HZ7-51R-DFM","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.121385","https://doi.org/TEST/BBD-F6H-SCH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.54129","https://doi.org/TEST/6M7-HX2-T6X","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.54129","https://doi.org/TEST/V3M-JZZ-WRR","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.AVES.13756","https://doi.org/TEST/8PD-SD8-GQL","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.33334","https://doi.org/TEST/2LQ-NVX-XCG","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.33334","https://doi.org/TEST/RSH-Q61-W46","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.127101","https://doi.org/TEST/HAM-E6V-Q8G","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.127101","https://doi.org/TEST/62G-NFS-CYH","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259833","https://doi.org/TEST/VR1-M9G-C3E","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259833","https://doi.org/TEST/GFN-HFS-XG3","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259833","https://doi.org/TEST/5AJ-3ER-NRS","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259833","https://doi.org/TEST/R12-0QV-64J","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259833","https://doi.org/TEST/WEY-ANT-TZE","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.259833","https://doi.org/TEST/YR0-795-XXV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.123109","https://doi.org/TEST/27N-V8S-PBF","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.123109","https://doi.org/TEST/79N-AAW-0RV","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.137978","https://doi.org/TEST/VCM-BGD-PAA","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.137978","https://doi.org/TEST/MBX-EBW-K9F","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.65519","https://doi.org/TEST/ESX-7ZN-4CM","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.65519","https://doi.org/TEST/GP6-D1S-48K","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.150844","https://doi.org/TEST/05V-8BB-SEQ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.150844","https://doi.org/TEST/BQR-G85-EPZ","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.56764","https://doi.org/TEST/HXG-P31-J2Q","","",""
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.56764","https://doi.org/TEST/5FZ-AJE-GQ2","","",""
