"IDENTIFIER","IDENTIFIERLANGUAGE","IDENTIFIERTYPE","IDENTIFIERTYPEIRI","IDENTIFIERTYPEVOCABULARY","MATERIALENTITYID"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.336092","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-ABT-HYH"
"RMNH.INS.336092@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-ABT-HYH"
"RMNH.INS.336092","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-ABT-HYH"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1473246","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-9WB-WEZ"
"RMNH.INS.1473246@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-9WB-WEZ"
"RMNH.INS.1473246","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-9WB-WEZ"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1050430","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-8KQ-NFR"
"ZMA.INS.1050430@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-8KQ-NFR"
"ZMA.INS.1050430","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-8KQ-NFR"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1047684","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-6X7-SNJ"
"ZMA.INS.1047684@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-6X7-SNJ"
"ZMA.INS.1047684","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-6X7-SNJ"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.41146","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-68F-1RT"
"RMNH.CRUS.D.41146@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-68F-1RT"
"RMNH.CRUS.D.41146","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-68F-1RT"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1055213","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-67T-04A"
"RMNH.INS.1055213@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-67T-04A"
"RMNH.INS.1055213","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-67T-04A"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.V.PL.1133","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-4Y1-VWM"
"ZMA.V.PL.1133@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-4Y1-VWM"
"ZMA.V.PL.1133","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-4Y1-VWM"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1022758","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-2MR-2V6"
"ZMA.INS.1022758@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-2MR-2V6"
"ZMA.INS.1022758","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-2MR-2V6"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.655888","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-2KY-EQD"
"RMNH.INS.655888@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-2KY-EQD"
"RMNH.INS.655888","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-2KY-EQD"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1416014","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-2AK-PLL"
"RMNH.INS.1416014@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-2AK-PLL"
"RMNH.INS.1416014","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-2AK-PLL"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.998790","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-0S8-X1H"
"ZMA.INS.998790@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-0S8-X1H"
"ZMA.INS.998790","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-0S8-X1H"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.14455","","dwc:occurrenceID","","","https://doi.org/TEST/ZZZ-02C-ZQQ"
"RMNH.CRUS.D.14455@CRS","","dwca:ID","","","https://doi.org/TEST/ZZZ-02C-ZQQ"
"RMNH.CRUS.D.14455","","dwc:catalogNumber","","","https://doi.org/TEST/ZZZ-02C-ZQQ"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1415771","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-SKD-Z7K"
"RMNH.INS.1415771@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-SKD-Z7K"
"RMNH.INS.1415771","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-SKD-Z7K"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.VER.P.10098","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-L90-JSM"
"RMNH.VER.P.10098@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-L90-JSM"
"RMNH.VER.P.10098","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-L90-JSM"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1235551","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-J36-HY0"
"RMNH.INS.1235551@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-J36-HY0"
"RMNH.INS.1235551","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-J36-HY0"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1082867","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-HDM-G4A"
"ZMA.INS.1082867@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-HDM-G4A"
"ZMA.INS.1082867","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-HDM-G4A"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5157286","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-FPT-ESZ"
"ZMA.INS.5157286@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-FPT-ESZ"
"ZMA.INS.5157286","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-FPT-ESZ"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.5164421","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-EHR-R3Z"
"ZMA.INS.5164421@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-EHR-R3Z"
"ZMA.INS.5164421","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-EHR-R3Z"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.V.OL.354.14","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-B3J-TLS"
"ZMA.V.OL.354.14@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-B3J-TLS"
"ZMA.V.OL.354.14","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-B3J-TLS"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1157191","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-9ZE-B56"
"ZMA.INS.1157191@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-9ZE-B56"
"ZMA.INS.1157191","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-9ZE-B56"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1556693","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-78V-301"
"ZMA.INS.1556693@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-78V-301"
"ZMA.INS.1556693","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-78V-301"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.610880","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-6XZ-YTG"
"ZMA.INS.610880@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-6XZ-YTG"
"ZMA.INS.610880","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-6XZ-YTG"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.VER.UT.6384","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-630-3KR"
"RMNH.VER.UT.6384@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-630-3KR"
"RMNH.VER.UT.6384","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-630-3KR"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.996742","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-5GY-2ZL"
"ZMA.INS.996742@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-5GY-2ZL"
"ZMA.INS.996742","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-5GY-2ZL"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.375697","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-4RM-FL9"
"RMNH.INS.375697@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-4RM-FL9"
"RMNH.INS.375697","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-4RM-FL9"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1184133","","dwc:occurrenceID","","","https://doi.org/TEST/ZZY-2GZ-KG4"
"RMNH.INS.1184133@CRS","","dwca:ID","","","https://doi.org/TEST/ZZY-2GZ-KG4"
"RMNH.INS.1184133","","dwc:catalogNumber","","","https://doi.org/TEST/ZZY-2GZ-KG4"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.989178","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-YKE-R8T"
"ZMA.INS.989178@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-YKE-R8T"
"ZMA.INS.989178","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-YKE-R8T"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.942727","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-X9D-W1P"
"ZMA.INS.942727@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-X9D-W1P"
"ZMA.INS.942727","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-X9D-W1P"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1197980","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-W8T-T95"
"ZMA.INS.1197980@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-W8T-T95"
"ZMA.INS.1197980","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-W8T-T95"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.986261","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-VZL-FSB"
"RMNH.INS.986261@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-VZL-FSB"
"RMNH.INS.986261","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-VZL-FSB"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1007912","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-TQK-LQ2"
"RMNH.INS.1007912@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-TQK-LQ2"
"RMNH.INS.1007912","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-TQK-LQ2"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1182937","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-SX7-2PX"
"ZMA.INS.1182937@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-SX7-2PX"
"ZMA.INS.1182937","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-SX7-2PX"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.D.102482","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-Q7A-T8K"
"ZMA.CRUS.D.102482@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-Q7A-T8K"
"ZMA.CRUS.D.102482","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-Q7A-T8K"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1148585","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-P6W-BWR"
"ZMA.INS.1148585@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-P6W-BWR"
"ZMA.INS.1148585","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-P6W-BWR"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.668060","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-P53-KJP"
"RMNH.INS.668060@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-P53-KJP"
"RMNH.INS.668060","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-P53-KJP"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.8702","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-N0Z-E0G"
"RMNH.CRUS.D.8702@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-N0Z-E0G"
"RMNH.CRUS.D.8702","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-N0Z-E0G"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1167457","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-M5N-3GX"
"RMNH.INS.1167457@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-M5N-3GX"
"RMNH.INS.1167457","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-M5N-3GX"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1120763","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-L55-2XR"
"ZMA.INS.1120763@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-L55-2XR"
"ZMA.INS.1120763","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-L55-2XR"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.CRUS.D.44050","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-K83-HWV"
"RMNH.CRUS.D.44050@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-K83-HWV"
"RMNH.CRUS.D.44050","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-K83-HWV"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.VER.ANN.1326","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-JNW-JK6"
"RMNH.VER.ANN.1326@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-JNW-JK6"
"RMNH.VER.ANN.1326","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-JNW-JK6"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.602720","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-FT2-MRH"
"ZMA.INS.602720@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-FT2-MRH"
"ZMA.INS.602720","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-FT2-MRH"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1347206","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-FAY-1S8"
"ZMA.INS.1347206@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-FAY-1S8"
"ZMA.INS.1347206","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-FAY-1S8"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.D.103273","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-F64-YHJ"
"ZMA.CRUS.D.103273@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-F64-YHJ"
"ZMA.CRUS.D.103273","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-F64-YHJ"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1120537","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-EL0-H95"
"ZMA.INS.1120537@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-EL0-H95"
"ZMA.INS.1120537","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-EL0-H95"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1023939","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-DNA-HS2"
"ZMA.INS.1023939@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-DNA-HS2"
"ZMA.INS.1023939","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-DNA-HS2"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.D.102656","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-D0V-AY6"
"ZMA.CRUS.D.102656@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-D0V-AY6"
"ZMA.CRUS.D.102656","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-D0V-AY6"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1339269","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-CRB-WPT"
"RMNH.INS.1339269@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-CRB-WPT"
"RMNH.INS.1339269","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-CRB-WPT"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1044214","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-8J0-MZL"
"RMNH.INS.1044214@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-8J0-MZL"
"RMNH.INS.1044214","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-8J0-MZL"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.653108","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-8GE-6FB"
"RMNH.INS.653108@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-8GE-6FB"
"RMNH.INS.653108","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-8GE-6FB"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.715537","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-7AE-7P5"
"RMNH.INS.715537@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-7AE-7P5"
"RMNH.INS.715537","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-7AE-7P5"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.943464","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-6BH-80Q"
"ZMA.INS.943464@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-6BH-80Q"
"ZMA.INS.943464","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-6BH-80Q"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.P.7555","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-275-6HB"
"ZMA.CRUS.P.7555@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-275-6HB"
"ZMA.CRUS.P.7555","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-275-6HB"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1177147","","dwc:occurrenceID","","","https://doi.org/TEST/ZZX-11G-P2Q"
"RMNH.INS.1177147@CRS","","dwca:ID","","","https://doi.org/TEST/ZZX-11G-P2Q"
"RMNH.INS.1177147","","dwc:catalogNumber","","","https://doi.org/TEST/ZZX-11G-P2Q"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.VER.P.2632","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-YBD-FRV"
"RMNH.VER.P.2632@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-YBD-FRV"
"RMNH.VER.P.2632","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-YBD-FRV"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.601464","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-V2Q-J1V"
"ZMA.INS.601464@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-V2Q-J1V"
"ZMA.INS.601464","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-V2Q-J1V"
"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1330232","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-R2D-ZAL"
"RMNH.INS.1330232@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-R2D-ZAL"
"RMNH.INS.1330232","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-R2D-ZAL"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1130615","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-P74-R9B"
"ZMA.INS.1130615@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-P74-R9B"
"ZMA.INS.1130615","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-P74-R9B"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.1202759","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-NA0-5D5"
"ZMA.INS.1202759@CRS","","dwca:ID","","","https://doi.org/TEST/ZZW-NA0-5D5"
"ZMA.INS.1202759","","dwc:catalogNumber","","","https://doi.org/TEST/ZZW-NA0-5D5"
"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.CRUS.D.240393","","dwc:occurrenceID","","","https://doi.org/TEST/ZZW-N38-6L4"
