agent_id	identification_id	agent_role	agent_role_iri	agent_role_vocabulary	agent_role_order	agent_role_date
AVdP_specimen_identifier	AAV3FF_00408_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00409_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00410_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00411_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00412_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00413_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00414_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00415_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00416_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00417_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00028_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00029_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FP_00030_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00418_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00419_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00420_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00421_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00005_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00006_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00007_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00008_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00009_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00012_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00013_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00014_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00015_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00016_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00017_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00018_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00019_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00020_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00021_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00022_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00023_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00024_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00025_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00026_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00027_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00028_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00029_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00030_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00031_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00032_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00033_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00034_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00035_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00036_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00037_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00038_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00039_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00040_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00041_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00042_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00043_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00044_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00045_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00046_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00047_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00048_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00049_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00050_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00051_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00052_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00053_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00054_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00055_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00056_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00057_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00058_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00059_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00060_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00061_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00062_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00063_ID	specimen identifier			1	
AVdP_specimen_identifier	AAV3FF_00064_ID	specimen identifier			1	
