identifier	agent_id	identifier_type	identifier_type_iri	identifier_type_vocabulary	identifier_language
https://orcid.org/0000-0003-1336-5554	AVdP_collector	ORCID			eng
https://orcid.org/0000-0003-1336-5554	AVdP_specimen_identifier	ORCID			eng
