occurrenceID	eventID	surveyTargetID	recordedBy	recordedByID	organismQuantity	organismQuantityType	lifeStage	occurrenceStatus	verbatimIdentification	identifiedBy	identifiedByID	taxonID	kingdom	scientificName	taxonRank
BROKE_WEST_RMT_116_RMT8_BROKE_WEST_RMT_116_RMT8_217697_Postmeta	BROKE_WEST_RMT_116_RMT8	BROKE_WEST_RMT_116_RMT8_217697_Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	6	individuals	Postmeta	detected	Electrona antarctica  Postmeta	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
BROKE_WEST_RMT_116_RMT8_BROKE_WEST_RMT_116_RMT8_234695	BROKE_WEST_RMT_116_RMT8	BROKE_WEST_RMT_116_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	9	individuals		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_116_RMT8_BROKE_WEST_RMT_116_RMT8_234552	BROKE_WEST_RMT_116_RMT8	BROKE_WEST_RMT_116_RMT8_234552	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234552	Animalia	Bathydraco	Genus
BROKE_WEST_RMT_116_RMT8_BROKE_WEST_RMT_116_RMT8_1	BROKE_WEST_RMT_116_RMT8	BROKE_WEST_RMT_116_RMT8_1	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals		detected	Biota sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:1		Biota	Superdomain
BROKE_WEST_RMT_117_RMT8_BROKE_WEST_RMT_117_RMT8_234695	BROKE_WEST_RMT_117_RMT8	BROKE_WEST_RMT_117_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_122_RMT8_BROKE_WEST_RMT_122_RMT8_234834	BROKE_WEST_RMT_122_RMT8	BROKE_WEST_RMT_122_RMT8_234834	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Cygnodraco mawsoni	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234834	Animalia	Cygnodraco mawsoni	Species
BROKE_WEST_RMT_006_RMT8_BROKE_WEST_RMT_006_RMT8_234695	BROKE_WEST_RMT_006_RMT8	BROKE_WEST_RMT_006_RMT8_234695	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
BROKE_WEST_RMT_021_RMT8_BROKE_WEST_RMT_021_RMT8_1621601	BROKE_WEST_RMT_021_RMT8	BROKE_WEST_RMT_021_RMT8_1621601	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	1	individual		detected	Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:1621601	Animalia	Pagetopsis maculatus	Species
BROKE_WEST_RMT_022_RMT8_BROKE_WEST_RMT_022_RMT8_234721	BROKE_WEST_RMT_022_RMT8	BROKE_WEST_RMT_022_RMT8_234721	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	94	individuals		detected	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
BROKE_WEST_RMT_024_RMT8_BROKE_WEST_RMT_024_RMT8_234721	BROKE_WEST_RMT_024_RMT8	BROKE_WEST_RMT_024_RMT8_234721	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	3	individuals		detected	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
