materialEntityID	eventID	materialCategory	materialEntityType	collectedBy	collectedByID	preparations	disposition	materialEntityRemarks	evidenceForOccurrenceID	derivedFromMaterialEntityID	derivationType	verbatimIdentification	identifiedBy	identifiedByID	identificationRemarks	taxonID	scientificName	taxonRank
AAV3FF_00351	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_1621601			Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:1621601	Pagetopsis maculatus	Species
AAV3FF_00352	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00353	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_234721			Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234721	Pleuragramma antarcticum	Species
AAV3FF_00354	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00355	BROKE_WEST_RMT_107_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_107_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00356	BROKE_WEST_RMT_108_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_108_RMT8_234566			Trematomus sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234566	Trematomus	Genus
AAV3FF_00358	BROKE_WEST_RMT_109_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_109_RMT8_234720			Cryodraco antarcticus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234720	Cryodraco antarcticus	Species
AAV3FF_00359	BROKE_WEST_RMT_109_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_109_RMT8_234582			Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234582	Chionodraco	Genus
AAV3FF_00360	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00361	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00362	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00363	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00364	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00365	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00366	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00367	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00368	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00369	BROKE_WEST_RMT_110_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_110_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00370	BROKE_WEST_RMT_110_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00371	BROKE_WEST_RMT_110_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00372	BROKE_WEST_RMT_111_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_111_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00373	BROKE_WEST_RMT_111_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_111_RMT8_234720			Cryodraco antarcticus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234720	Cryodraco antarcticus	Species
AAV3FF_00374	BROKE_WEST_RMT_112_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_112_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00375	BROKE_WEST_RMT_112_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_112_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00376	BROKE_WEST_RMT_112_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_112_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00377	BROKE_WEST_RMT_113_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_113_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00378	BROKE_WEST_RMT_113_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_113_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00379	BROKE_WEST_RMT_113_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_113_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00380	BROKE_WEST_RMT_114_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_114_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00381	BROKE_WEST_RMT_114_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00382	BROKE_WEST_RMT_114_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FP_00027	BROKE_WEST_RMT_114_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_114_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00383	BROKE_WEST_RMT_115_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_115_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00384	BROKE_WEST_RMT_115_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_115_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00385	BROKE_WEST_RMT_115_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_115_RMT8_234695			Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00386	BROKE_WEST_RMT_115_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_115_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00387	BROKE_WEST_RMT_115_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_115_RMT8_217697_Larvae			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00388	BROKE_WEST_RMT_115_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_115_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00389	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00390	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00391	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00392	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:234695	Notolepis coatsi	Species
AAV3FF_00393	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00394	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00395	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00396	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00397	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00398	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00399	BROKE_WEST_RMT_115_RMT1	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554							Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
AAV3FF_00400	BROKE_WEST_RMT_116_RMT8	preserved	whole organism	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554				BROKE_WEST_RMT_116_RMT8_217697_Postmeta			Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554		urn:lsid:marinespecies.org:taxname:217697	Electrona antarctica	Species
