"assertionID"	"materialEntityID"	"assertionValueNumeric"	"assertionType"	"assertionUnit"
"P179.1AL"	"P179.1AL_preserved"	24	"dry weight biomass"	"mg"
"IM18_206"	"P179.1AL_pure"	2	"DNA concentration"	"ng/µl"
"P179.1AS"	"P179.1AS_preserved"	87	"dry weight biomass"	"mg"
"IM18_205"	"P179.1AS_pure"	55	"DNA concentration"	"ng/µl"
"P179.1BL"	"P179.1BL_preserved"	8	"dry weight biomass"	"mg"
"IM18_208"	"P179.1BL_pure"	4	"DNA concentration"	"ng/µl"
"P179.1BS"	"P179.1BS_preserved"	13	"dry weight biomass"	"mg"
"IM18_207"	"P179.1BS_pure"	7	"DNA concentration"	"ng/µl"
"P179.2AS"	"P179.2AS_preserved"	49	"dry weight biomass"	"mg"
"IM18_209"	"P179.2AS_pure"	34	"DNA concentration"	"ng/µl"
"P179.2BS"	"P179.2BS_preserved"	101	"dry weight biomass"	"mg"
"IM18_257"	"P179.2BS_pure"	17	"DNA concentration"	"ng/µl"
"P18.1AL"	"P18.1AL_preserved"	48	"dry weight biomass"	"mg"
"IM18_11"	"P18.1AL_pure"	7	"DNA concentration"	"ng/µl"
"P18.1AS"	"P18.1AS_preserved"	38	"dry weight biomass"	"mg"
"IM18_10"	"P18.1AS_pure"	18	"DNA concentration"	"ng/µl"
"P18.1BL"	"P18.1BL_preserved"	111	"dry weight biomass"	"mg"
"IM18_435"	"P18.1BL_pure"	5	"DNA concentration"	"ng/µl"
"P18.1BS"	"P18.1BS_preserved"	138	"dry weight biomass"	"mg"
"IM18_434"	"P18.1BS_pure"	57	"DNA concentration"	"ng/µl"
"P18.2AS"	"P18.2AS_preserved"	55	"dry weight biomass"	"mg"
"IM18_941"	"P18.2AS_pure"	47	"DNA concentration"	"ng/µl"
"P18.2BL"	"P18.2BL_preserved"	6	"dry weight biomass"	"mg"
"IM18_1002"	"P18.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P18.2BS"	"P18.2BS_preserved"	219	"dry weight biomass"	"mg"
"IM18_1001"	"P18.2BS_pure"	42	"DNA concentration"	"ng/µl"
"P180.1AL"	"P180.1AL_preserved"	31	"dry weight biomass"	"mg"
"IM18_714"	"P180.1AL_pure"	10	"DNA concentration"	"ng/µl"
"P180.1AS"	"P180.1AS_preserved"	29	"dry weight biomass"	"mg"
"IM18_713"	"P180.1AS_pure"	23	"DNA concentration"	"ng/µl"
"P180.1BL"	"P180.1BL_preserved"	5	"dry weight biomass"	"mg"
"IM18_616"	"P180.1BL_pure"	2	"DNA concentration"	"ng/µl"
"P180.1BS"	"P180.1BS_preserved"	118	"dry weight biomass"	"mg"
"IM18_615"	"P180.1BS_pure"	54	"DNA concentration"	"ng/µl"
"P180.2AL"	"P180.2AL_preserved"	3	"dry weight biomass"	"mg"
"IM18_1055"	"P180.2AL_pure"	13	"DNA concentration"	"ng/µl"
"P180.2AS"	"P180.2AS_preserved"	26	"dry weight biomass"	"mg"
"IM18_1054"	"P180.2AS_pure"	27	"DNA concentration"	"ng/µl"
"P180.2BS"	"P180.2BS_preserved"	27	"dry weight biomass"	"mg"
"IM18_872"	"P180.2BS_pure"	25	"DNA concentration"	"ng/µl"
"P181.1BL"	"P181.1BL_preserved"	1	"dry weight biomass"	"mg"
"P181.1BS"	"P181.1BS_preserved"	420	"dry weight biomass"	"mg"
"IM18_210"	"P181.1BS_pure"	37	"DNA concentration"	"ng/µl"
"P181.2AL"	"P181.2AL_preserved"	165	"dry weight biomass"	"mg"
"IM18_213"	"P181.2AL_pure"	75	"DNA concentration"	"ng/µl"
"P181.2AS"	"P181.2AS_preserved"	1103	"dry weight biomass"	"mg"
"IM18_212"	"P181.2AS_pure"	75	"DNA concentration"	"ng/µl"
"P181.2BL"	"P181.2BL_preserved"	309	"dry weight biomass"	"mg"
"IM18_216"	"P181.2BL_pure"	22	"DNA concentration"	"ng/µl"
"P181.2BS"	"P181.2BS_preserved"	981	"dry weight biomass"	"mg"
"IM18_214"	"P181.2BS_pure"	88	"DNA concentration"	"ng/µl"
"P182.1AL"	"P182.1AL_preserved"	7	"dry weight biomass"	"mg"
"IM18_218"	"P182.1AL_pure"	1	"DNA concentration"	"ng/µl"
"P182.1AS"	"P182.1AS_preserved"	31	"dry weight biomass"	"mg"
"IM18_217"	"P182.1AS_pure"	18	"DNA concentration"	"ng/µl"
"P182.1BL"	"P182.1BL_preserved"	2	"dry weight biomass"	"mg"
"IM18_220"	"P182.1BL_pure"	2	"DNA concentration"	"ng/µl"
"P182.1BS"	"P182.1BS_preserved"	119	"dry weight biomass"	"mg"
"IM18_219"	"P182.1BS_pure"	13	"DNA concentration"	"ng/µl"
"P182.2AS"	"P182.2AS_preserved"	46	"dry weight biomass"	"mg"
"IM18_221"	"P182.2AS_pure"	14	"DNA concentration"	"ng/µl"
"P182.2BL"	"P182.2BL_preserved"	18	"dry weight biomass"	"mg"
"IM18_223"	"P182.2BL_pure"	2	"DNA concentration"	"ng/µl"
"P182.2BS"	"P182.2BS_preserved"	47	"dry weight biomass"	"mg"
"IM18_222"	"P182.2BS_pure"	16	"DNA concentration"	"ng/µl"
"P183.1AL"	"P183.1AL_preserved"	6	"dry weight biomass"	"mg"
"P183.1AS"	"P183.1AS_preserved"	80	"dry weight biomass"	"mg"
"P183.1BS"	"P183.1BS_preserved"	152	"dry weight biomass"	"mg"
"P183.2AL"	"P183.2AL_preserved"	5	"dry weight biomass"	"mg"
"IM18_225"	"P183.2AL_pure"	2	"DNA concentration"	"ng/µl"
"P183.2AS"	"P183.2AS_preserved"	124	"dry weight biomass"	"mg"
"IM18_224"	"P183.2AS_pure"	46	"DNA concentration"	"ng/µl"
"P183.2BL"	"P183.2BL_preserved"	12	"dry weight biomass"	"mg"
"IM18_227"	"P183.2BL_pure"	2	"DNA concentration"	"ng/µl"
"P183.2BS"	"P183.2BS_preserved"	159	"dry weight biomass"	"mg"
"IM18_226"	"P183.2BS_pure"	57	"DNA concentration"	"ng/µl"
"P184.1AL"	"P184.1AL_preserved"	19	"dry weight biomass"	"mg"
"IM18_943"	"P184.1AL_pure"	1	"DNA concentration"	"ng/µl"
"P184.1AS"	"P184.1AS_preserved"	5	"dry weight biomass"	"mg"
"IM18_942"	"P184.1AS_pure"	5	"DNA concentration"	"ng/µl"
"P184.1BS"	"P184.1BS_preserved"	8	"dry weight biomass"	"mg"
"IM18_944"	"P184.1BS_pure"	4	"DNA concentration"	"ng/µl"
"P184.2AS"	"P184.2AS_preserved"	27	"dry weight biomass"	"mg"
"IM18_715"	"P184.2AS_pure"	14	"DNA concentration"	"ng/µl"
"IM18_280"	"P184.2BS_pure"	3	"DNA concentration"	"ng/µl"
"P185.1AL"	"P185.1AL_preserved"	47	"dry weight biomass"	"mg"
"IM18_757"	"P185.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P185.1AS"	"P185.1AS_preserved"	147	"dry weight biomass"	"mg"
"IM18_756"	"P185.1AS_pure"	47	"DNA concentration"	"ng/µl"
"P185.1BS"	"P185.1BS_preserved"	84	"dry weight biomass"	"mg"
"IM18_553"	"P185.1BS_pure"	60	"DNA concentration"	"ng/µl"
"P185.2AL"	"P185.2AL_preserved"	65	"dry weight biomass"	"mg"
"IM18_946"	"P185.2AL_pure"	14	"DNA concentration"	"ng/µl"
"P185.2AS"	"P185.2AS_preserved"	189	"dry weight biomass"	"mg"
"IM18_945"	"P185.2AS_pure"	51	"DNA concentration"	"ng/µl"
"P185.2BL"	"P185.2BL_preserved"	43	"dry weight biomass"	"mg"
"IM18_948"	"P185.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P185.2BS"	"P185.2BS_preserved"	104	"dry weight biomass"	"mg"
"IM18_947"	"P185.2BS_pure"	62	"DNA concentration"	"ng/µl"
"P186.1AL"	"P186.1AL_preserved"	38	"dry weight biomass"	"mg"
"IM18_229"	"P186.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P186.1AS"	"P186.1AS_preserved"	47	"dry weight biomass"	"mg"
"IM18_228"	"P186.1AS_pure"	14	"DNA concentration"	"ng/µl"
"P186.1BL"	"P186.1BL_preserved"	12	"dry weight biomass"	"mg"
"IM18_231"	"P186.1BL_pure"	1	"DNA concentration"	"ng/µl"
"P186.1BS"	"P186.1BS_preserved"	55	"dry weight biomass"	"mg"
"IM18_230"	"P186.1BS_pure"	23	"DNA concentration"	"ng/µl"
"P186.2AL"	"P186.2AL_preserved"	18	"dry weight biomass"	"mg"
"IM18_233"	"P186.2AL_pure"	5	"DNA concentration"	"ng/µl"
"P186.2AS"	"P186.2AS_preserved"	42	"dry weight biomass"	"mg"
"IM18_232"	"P186.2AS_pure"	7	"DNA concentration"	"ng/µl"
"P186.2BL"	"P186.2BL_preserved"	7	"dry weight biomass"	"mg"
"IM18_259"	"P186.2BL_pure"	4	"DNA concentration"	"ng/µl"
"P186.2BS"	"P186.2BS_preserved"	149	"dry weight biomass"	"mg"
"IM18_258"	"P186.2BS_pure"	40	"DNA concentration"	"ng/µl"
"P187.1AL"	"P187.1AL_preserved"	3	"dry weight biomass"	"mg"
"IM18_950"	"P187.1AL_pure"	9	"DNA concentration"	"ng/µl"
"P187.1AS"	"P187.1AS_preserved"	18	"dry weight biomass"	"mg"
"IM18_949"	"P187.1AS_pure"	13	"DNA concentration"	"ng/µl"
"P187.1BL"	"P187.1BL_preserved"	6	"dry weight biomass"	"mg"
"IM18_1004"	"P187.1BL_pure"	9	"DNA concentration"	"ng/µl"
"P187.1BS"	"P187.1BS_preserved"	48	"dry weight biomass"	"mg"
"IM18_1003"	"P187.1BS_pure"	31	"DNA concentration"	"ng/µl"
"P187.2AL"	"P187.2AL_preserved"	59	"dry weight biomass"	"mg"
"IM18_717"	"P187.2AL_pure"	9	"DNA concentration"	"ng/µl"
"P187.2AS"	"P187.2AS_preserved"	146	"dry weight biomass"	"mg"
"IM18_716"	"P187.2AS_pure"	57	"DNA concentration"	"ng/µl"
"P187.2BL"	"P187.2BL_preserved"	13	"dry weight biomass"	"mg"
"IM18_555"	"P187.2BL_pure"	9	"DNA concentration"	"ng/µl"
"P187.2BS"	"P187.2BS_preserved"	75	"dry weight biomass"	"mg"
"IM18_554"	"P187.2BS_pure"	43	"DNA concentration"	"ng/µl"
"P188.1AL"	"P188.1AL_preserved"	55	"dry weight biomass"	"mg"
"IM18_1029"	"P188.1AL_pure"	16	"DNA concentration"	"ng/µl"
"P188.1AS"	"P188.1AS_preserved"	63	"dry weight biomass"	"mg"
"IM18_1028"	"P188.1AS_pure"	21	"DNA concentration"	"ng/µl"
"P188.1BL"	"P188.1BL_preserved"	116	"dry weight biomass"	"mg"
"IM18_437"	"P188.1BL_pure"	1	"DNA concentration"	"ng/µl"
"P188.1BS"	"P188.1BS_preserved"	1825	"dry weight biomass"	"mg"
"IM18_436"	"P188.1BS_pure"	56	"DNA concentration"	"ng/µl"
"P188.2AL"	"P188.2AL_preserved"	63	"dry weight biomass"	"mg"
"IM18_952"	"P188.2AL_pure"	4	"DNA concentration"	"ng/µl"
"P188.2AS"	"P188.2AS_preserved"	9	"dry weight biomass"	"mg"
"IM18_951"	"P188.2AS_pure"	10	"DNA concentration"	"ng/µl"
"P188.2BS"	"P188.2BS_preserved"	51	"dry weight biomass"	"mg"
"IM18_953"	"P188.2BS_pure"	27	"DNA concentration"	"ng/µl"
"P189.1AL"	"P189.1AL_preserved"	20	"dry weight biomass"	"mg"
"IM18_261"	"P189.1AL_pure"	30	"DNA concentration"	"ng/µl"
"P189.1AS"	"P189.1AS_preserved"	47	"dry weight biomass"	"mg"
"IM18_260"	"P189.1AS_pure"	22	"DNA concentration"	"ng/µl"
"P189.1BL"	"P189.1BL_preserved"	45	"dry weight biomass"	"mg"
"IM18_263"	"P189.1BL_pure"	37	"DNA concentration"	"ng/µl"
"P189.1BS"	"P189.1BS_preserved"	81	"dry weight biomass"	"mg"
"IM18_262"	"P189.1BS_pure"	38	"DNA concentration"	"ng/µl"
"P189.2AL"	"P189.2AL_preserved"	22	"dry weight biomass"	"mg"
"IM18_874"	"P189.2AL_pure"	7	"DNA concentration"	"ng/µl"
"P189.2AS"	"P189.2AS_preserved"	59	"dry weight biomass"	"mg"
"IM18_873"	"P189.2AS_pure"	31	"DNA concentration"	"ng/µl"
"P189.2BL"	"P189.2BL_preserved"	44	"dry weight biomass"	"mg"
"IM18_876"	"P189.2BL_pure"	7	"DNA concentration"	"ng/µl"
"P189.2BS"	"P189.2BS_preserved"	86	"dry weight biomass"	"mg"
"IM18_875"	"P189.2BS_pure"	43	"DNA concentration"	"ng/µl"
"P19.1AL"	"P19.1AL_preserved"	10	"dry weight biomass"	"mg"
"IM18_13"	"P19.1AL_pure"	3	"DNA concentration"	"ng/µl"
"P19.1AS"	"P19.1AS_preserved"	32	"dry weight biomass"	"mg"
"IM18_12"	"P19.1AS_pure"	25	"DNA concentration"	"ng/µl"
"P19.2AS"	"P19.2AS_preserved"	22	"dry weight biomass"	"mg"
"IM18_264"	"P19.2AS_pure"	17	"DNA concentration"	"ng/µl"
"P19.2BS"	"P19.2BS_preserved"	56	"dry weight biomass"	"mg"
"IM18_265"	"P19.2BS_pure"	27	"DNA concentration"	"ng/µl"
"P190.1AS"	"P190.1AS_preserved"	39	"dry weight biomass"	"mg"
"IM18_234"	"P190.1AS_pure"	4	"DNA concentration"	"ng/µl"
"P190.1BL"	"P190.1BL_preserved"	8	"dry weight biomass"	"mg"
"P190.1BS"	"P190.1BS_preserved"	132	"dry weight biomass"	"mg"
"IM18_235"	"P190.1BS_pure"	32	"DNA concentration"	"ng/µl"
"P190.2AL"	"P190.2AL_preserved"	53	"dry weight biomass"	"mg"
"IM18_1053"	"P190.2AL_pure"	28	"DNA concentration"	"ng/µl"
"P190.2AS"	"P190.2AS_preserved"	41	"dry weight biomass"	"mg"
"IM18_1052"	"P190.2AS_pure"	25	"DNA concentration"	"ng/µl"
"P190.2BS"	"P190.2BS_preserved"	758	"dry weight biomass"	"mg"
"IM18_237"	"P190.2BS_pure"	51	"DNA concentration"	"ng/µl"
"P191.1BL"	"P191.1BL_preserved"	13	"dry weight biomass"	"mg"
"IM18_1006"	"P191.1BL_pure"	20	"DNA concentration"	"ng/µl"
"P191.1BS"	"P191.1BS_preserved"	6818	"dry weight biomass"	"mg"
"IM18_1005"	"P191.1BS_pure"	36	"DNA concentration"	"ng/µl"
"P192.1AL"	"P192.1AL_preserved"	291	"dry weight biomass"	"mg"
"P192.1AS"	"P192.1AS_preserved"	302	"dry weight biomass"	"mg"
"P192.1BL"	"P192.1BL_preserved"	83	"dry weight biomass"	"mg"
"P192.1BS"	"P192.1BS_preserved"	140	"dry weight biomass"	"mg"
"P192.2AL"	"P192.2AL_preserved"	420	"dry weight biomass"	"mg"
"P192.2AS"	"P192.2AS_preserved"	58	"dry weight biomass"	"mg"
"P192.2BS"	"P192.2BS_preserved"	63	"dry weight biomass"	"mg"
"P193.1AS"	"P193.1AS_preserved"	795	"dry weight biomass"	"mg"
"P193.1BL"	"P193.1BL_preserved"	14	"dry weight biomass"	"mg"
"P193.1BS"	"P193.1BS_preserved"	22	"dry weight biomass"	"mg"
"P193.2AS"	"P193.2AS_preserved"	327	"dry weight biomass"	"mg"
"P193.2BS"	"P193.2BS_preserved"	75	"dry weight biomass"	"mg"
"P194.1AL"	"P194.1AL_preserved"	53	"dry weight biomass"	"mg"
"IM19_529"	"P194.1AL_pure"	11	"DNA concentration"	"ng/µl"
"P194.1AS"	"P194.1AS_preserved"	61	"dry weight biomass"	"mg"
"IM19_528"	"P194.1AS_pure"	35	"DNA concentration"	"ng/µl"
"P194.1BS"	"P194.1BS_preserved"	13	"dry weight biomass"	"mg"
"IM19_01"	"P194.1BS_pure"	2	"DNA concentration"	"ng/µl"
"P195.1AL"	"P195.1AL_preserved"	11	"dry weight biomass"	"mg"
"IM19_531"	"P195.1AL_pure"	19	"DNA concentration"	"ng/µl"
"P195.1AS"	"P195.1AS_preserved"	204	"dry weight biomass"	"mg"
"IM19_530"	"P195.1AS_pure"	46	"DNA concentration"	"ng/µl"
"P195.1BL"	"P195.1BL_preserved"	274	"dry weight biomass"	"mg"
"IM19_03"	"P195.1BL_pure"	20	"DNA concentration"	"ng/µl"
"P195.1BS"	"P195.1BS_preserved"	163	"dry weight biomass"	"mg"
"IM19_02"	"P195.1BS_pure"	14	"DNA concentration"	"ng/µl"
"P195.2AL"	"P195.2AL_preserved"	20	"dry weight biomass"	"mg"
"IM19_533"	"P195.2AL_pure"	18	"DNA concentration"	"ng/µl"
"P195.2AS"	"P195.2AS_preserved"	201	"dry weight biomass"	"mg"
"IM19_532"	"P195.2AS_pure"	39	"DNA concentration"	"ng/µl"
"P195.2BS"	"P195.2BS_preserved"	67	"dry weight biomass"	"mg"
"IM19_04"	"P195.2BS_pure"	35	"DNA concentration"	"ng/µl"
"P196.1AL"	"P196.1AL_preserved"	27	"dry weight biomass"	"mg"
"IM19_535"	"P196.1AL_pure"	13	"DNA concentration"	"ng/µl"
"P196.1AS"	"P196.1AS_preserved"	137	"dry weight biomass"	"mg"
"IM19_534"	"P196.1AS_pure"	39	"DNA concentration"	"ng/µl"
"P196.1BL"	"P196.1BL_preserved"	335	"dry weight biomass"	"mg"
"IM19_06"	"P196.1BL_pure"	40	"DNA concentration"	"ng/µl"
"P196.1BS"	"P196.1BS_preserved"	119	"dry weight biomass"	"mg"
"IM19_05"	"P196.1BS_pure"	43	"DNA concentration"	"ng/µl"
"P196.2AL"	"P196.2AL_preserved"	121	"dry weight biomass"	"mg"
"IM19_537"	"P196.2AL_pure"	27	"DNA concentration"	"ng/µl"
"P196.2AS"	"P196.2AS_preserved"	113	"dry weight biomass"	"mg"
"IM19_536"	"P196.2AS_pure"	39	"DNA concentration"	"ng/µl"
"P196.2BL"	"P196.2BL_preserved"	14	"dry weight biomass"	"mg"
"IM19_08"	"P196.2BL_pure"	26	"DNA concentration"	"ng/µl"
"P196.2BS"	"P196.2BS_preserved"	106	"dry weight biomass"	"mg"
"IM19_07"	"P196.2BS_pure"	41	"DNA concentration"	"ng/µl"
"P197.1AL"	"P197.1AL_preserved"	18	"dry weight biomass"	"mg"
"IM19_1056"	"P197.1AL_pure"	21	"DNA concentration"	"ng/µl"
"P197.1AS"	"P197.1AS_preserved"	85	"dry weight biomass"	"mg"
"IM19_1055"	"P197.1AS_pure"	43	"DNA concentration"	"ng/µl"
"P197.1BL"	"P197.1BL_preserved"	315	"dry weight biomass"	"mg"
"IM19_1058"	"P197.1BL_pure"	9	"DNA concentration"	"ng/µl"
"P197.1BS"	"P197.1BS_preserved"	295	"dry weight biomass"	"mg"
"IM19_1057"	"P197.1BS_pure"	45	"DNA concentration"	"ng/µl"
"P197.2AL"	"P197.2AL_preserved"	105	"dry weight biomass"	"mg"
"IM19_1077"	"P197.2AL_pure"	11	"DNA concentration"	"ng/µl"
"P197.2AS"	"P197.2AS_preserved"	31	"dry weight biomass"	"mg"
"P197.2BL"	"P197.2BL_preserved"	16	"dry weight biomass"	"mg"
"P197.2BS"	"P197.2BS_preserved"	98	"dry weight biomass"	"mg"
"IM19_1078"	"P197.2BS_pure"	34	"DNA concentration"	"ng/µl"
"P198.1AL"	"P198.1AL_preserved"	11	"dry weight biomass"	"mg"
"IM19_539"	"P198.1AL_pure"	13	"DNA concentration"	"ng/µl"
"P198.1AS"	"P198.1AS_preserved"	233	"dry weight biomass"	"mg"
"IM19_538"	"P198.1AS_pure"	37	"DNA concentration"	"ng/µl"
"P198.1BL"	"P198.1BL_preserved"	95	"dry weight biomass"	"mg"
"IM19_10"	"P198.1BL_pure"	11	"DNA concentration"	"ng/µl"
"P198.1BS"	"P198.1BS_preserved"	284	"dry weight biomass"	"mg"
"IM19_09"	"P198.1BS_pure"	60	"DNA concentration"	"ng/µl"
"P198.2AL"	"P198.2AL_preserved"	28	"dry weight biomass"	"mg"
"IM19_541"	"P198.2AL_pure"	10	"DNA concentration"	"ng/µl"
"P198.2AS"	"P198.2AS_preserved"	35	"dry weight biomass"	"mg"
"IM19_540"	"P198.2AS_pure"	24	"DNA concentration"	"ng/µl"
"P198.2BS"	"P198.2BS_preserved"	60	"dry weight biomass"	"mg"
"IM19_11"	"P198.2BS_pure"	42	"DNA concentration"	"ng/µl"
"P199.1AL"	"P199.1AL_preserved"	350	"dry weight biomass"	"mg"
"IM19_543"	"P199.1AL_pure"	17	"DNA concentration"	"ng/µl"
"P199.1AS"	"P199.1AS_preserved"	490	"dry weight biomass"	"mg"
"IM19_542"	"P199.1AS_pure"	45	"DNA concentration"	"ng/µl"
"P199.1BL"	"P199.1BL_preserved"	80	"dry weight biomass"	"mg"
"IM19_13"	"P199.1BL_pure"	13	"DNA concentration"	"ng/µl"
"P199.1BS"	"P199.1BS_preserved"	220	"dry weight biomass"	"mg"
"IM19_12"	"P199.1BS_pure"	51	"DNA concentration"	"ng/µl"
"IM18_877"	"P2.1AS_pure"	1	"DNA concentration"	"ng/µl"
"P2.1BS"	"P2.1BS_preserved"	6	"dry weight biomass"	"mg"
"IM18_878"	"P2.1BS_pure"	5	"DNA concentration"	"ng/µl"
"P2.2AL"	"P2.2AL_preserved"	37	"dry weight biomass"	"mg"
"IM18_440"	"P2.2AL_pure"	2	"DNA concentration"	"ng/µl"
"P2.2AS"	"P2.2AS_preserved"	57	"dry weight biomass"	"mg"
"IM18_439"	"P2.2AS_pure"	10	"DNA concentration"	"ng/µl"
"P20.1AL"	"P20.1AL_preserved"	15	"dry weight biomass"	"mg"
"IM18_15"	"P20.1AL_pure"	3	"DNA concentration"	"ng/µl"
"P20.1AS"	"P20.1AS_preserved"	137	"dry weight biomass"	"mg"
"IM18_14"	"P20.1AS_pure"	17	"DNA concentration"	"ng/µl"
"P20.1BL"	"P20.1BL_preserved"	41	"dry weight biomass"	"mg"
"IM18_17"	"P20.1BL_pure"	17	"DNA concentration"	"ng/µl"
"P20.1BS"	"P20.1BS_preserved"	154	"dry weight biomass"	"mg"
"IM18_16"	"P20.1BS_pure"	59	"DNA concentration"	"ng/µl"
"P20.2AL"	"P20.2AL_preserved"	35	"dry weight biomass"	"mg"
"IM18_19"	"P20.2AL_pure"	4	"DNA concentration"	"ng/µl"
"P20.2AS"	"P20.2AS_preserved"	69	"dry weight biomass"	"mg"
"IM18_18"	"P20.2AS_pure"	29	"DNA concentration"	"ng/µl"
"P20.2BL"	"P20.2BL_preserved"	16	"dry weight biomass"	"mg"
"IM18_41"	"P20.2BL_pure"	5	"DNA concentration"	"ng/µl"
"P20.2BS"	"P20.2BS_preserved"	386	"dry weight biomass"	"mg"
"IM18_40"	"P20.2BS_pure"	33	"DNA concentration"	"ng/µl"
"P200.1AS"	"P200.1AS_preserved"	138	"dry weight biomass"	"mg"
"IM19_544"	"P200.1AS_pure"	39	"DNA concentration"	"ng/µl"
"P200.1BL"	"P200.1BL_preserved"	45	"dry weight biomass"	"mg"
"IM19_15"	"P200.1BL_pure"	8	"DNA concentration"	"ng/µl"
"P200.1BS"	"P200.1BS_preserved"	38	"dry weight biomass"	"mg"
"IM19_14"	"P200.1BS_pure"	25	"DNA concentration"	"ng/µl"
"P200.2AS"	"P200.2AS_preserved"	60	"dry weight biomass"	"mg"
"IM19_545"	"P200.2AS_pure"	30	"DNA concentration"	"ng/µl"
"P200.2BS"	"P200.2BS_preserved"	35	"dry weight biomass"	"mg"
"IM19_16"	"P200.2BS_pure"	29	"DNA concentration"	"ng/µl"
"P201.1AL"	"P201.1AL_preserved"	155	"dry weight biomass"	"mg"
"IM19_547"	"P201.1AL_pure"	27	"DNA concentration"	"ng/µl"
"P201.1AS"	"P201.1AS_preserved"	37	"dry weight biomass"	"mg"
"IM19_546"	"P201.1AS_pure"	4	"DNA concentration"	"ng/µl"
"P201.1BL"	"P201.1BL_preserved"	17	"dry weight biomass"	"mg"
"IM19_18"	"P201.1BL_pure"	8	"DNA concentration"	"ng/µl"
"P201.1BS"	"P201.1BS_preserved"	5	"dry weight biomass"	"mg"
"IM19_17"	"P201.1BS_pure"	3	"DNA concentration"	"ng/µl"
"P201.2AS"	"P201.2AS_preserved"	42	"dry weight biomass"	"mg"
"IM19_548"	"P201.2AS_pure"	29	"DNA concentration"	"ng/µl"
"P201.2BL"	"P201.2BL_preserved"	28	"dry weight biomass"	"mg"
"IM19_20"	"P201.2BL_pure"	1	"DNA concentration"	"ng/µl"
"P201.2BS"	"P201.2BS_preserved"	32	"dry weight biomass"	"mg"
"IM19_19"	"P201.2BS_pure"	26	"DNA concentration"	"ng/µl"
"P202.1AL"	"P202.1AL_preserved"	24	"dry weight biomass"	"mg"
"IM19_550"	"P202.1AL_pure"	4	"DNA concentration"	"ng/µl"
"P202.1AS"	"P202.1AS_preserved"	40	"dry weight biomass"	"mg"
"IM19_549"	"P202.1AS_pure"	28	"DNA concentration"	"ng/µl"
"P202.1BL"	"P202.1BL_preserved"	29	"dry weight biomass"	"mg"
"IM19_22"	"P202.1BL_pure"	1	"DNA concentration"	"ng/µl"
"P202.1BS"	"P202.1BS_preserved"	202	"dry weight biomass"	"mg"
"IM19_21"	"P202.1BS_pure"	52	"DNA concentration"	"ng/µl"
"P203.1AS"	"P203.1AS_preserved"	2	"dry weight biomass"	"mg"
"IM19_551"	"P203.1AS_pure"	2	"DNA concentration"	"ng/µl"
"P203.1BS"	"P203.1BS_preserved"	23	"dry weight biomass"	"mg"
"IM19_23"	"P203.1BS_pure"	18	"DNA concentration"	"ng/µl"
"P203.2AL"	"P203.2AL_preserved"	7	"dry weight biomass"	"mg"
"IM19_553"	"P203.2AL_pure"	7	"DNA concentration"	"ng/µl"
"P203.2AS"	"P203.2AS_preserved"	13	"dry weight biomass"	"mg"
"IM19_552"	"P203.2AS_pure"	11	"DNA concentration"	"ng/µl"
"P203.2BS"	"P203.2BS_preserved"	10	"dry weight biomass"	"mg"
"IM19_24"	"P203.2BS_pure"	4	"DNA concentration"	"ng/µl"
"P204.1AL"	"P204.1AL_preserved"	138	"dry weight biomass"	"mg"
"IM19_555"	"P204.1AL_pure"	35	"DNA concentration"	"ng/µl"
"P204.1AS"	"P204.1AS_preserved"	231	"dry weight biomass"	"mg"
"IM19_554"	"P204.1AS_pure"	38	"DNA concentration"	"ng/µl"
"P204.1BL"	"P204.1BL_preserved"	84	"dry weight biomass"	"mg"
"IM19_26"	"P204.1BL_pure"	7	"DNA concentration"	"ng/µl"
"P204.1BS"	"P204.1BS_preserved"	1100	"dry weight biomass"	"mg"
"IM19_25"	"P204.1BS_pure"	55	"DNA concentration"	"ng/µl"
"P204.2AL"	"P204.2AL_preserved"	65	"dry weight biomass"	"mg"
"IM19_557"	"P204.2AL_pure"	9	"DNA concentration"	"ng/µl"
"P204.2AS"	"P204.2AS_preserved"	911	"dry weight biomass"	"mg"
"IM19_556"	"P204.2AS_pure"	43	"DNA concentration"	"ng/µl"
"P204.2BL"	"P204.2BL_preserved"	91	"dry weight biomass"	"mg"
"IM19_28"	"P204.2BL_pure"	13	"DNA concentration"	"ng/µl"
"P204.2BS"	"P204.2BS_preserved"	1926	"dry weight biomass"	"mg"
"IM19_27"	"P204.2BS_pure"	111	"DNA concentration"	"ng/µl"
"P205.1AS"	"P205.1AS_preserved"	21	"dry weight biomass"	"mg"
"IM19_558"	"P205.1AS_pure"	11	"DNA concentration"	"ng/µl"
"P205.1BL"	"P205.1BL_preserved"	25	"dry weight biomass"	"mg"
"IM19_30"	"P205.1BL_pure"	3	"DNA concentration"	"ng/µl"
"P205.1BS"	"P205.1BS_preserved"	62	"dry weight biomass"	"mg"
"IM19_29"	"P205.1BS_pure"	33	"DNA concentration"	"ng/µl"
"P205.2AL"	"P205.2AL_preserved"	2	"dry weight biomass"	"mg"
"IM19_560"	"P205.2AL_pure"	1	"DNA concentration"	"ng/µl"
