"assertionID"	"materialEntityID"	"assertionValueNumeric"	"assertionType"	"assertionUnit"
"P104.1BS"	"P104.1BS_preserved"	443	"dry weight biomass"	"mg"
"IM18_113"	"P104.1BS_pure"	59	"DNA concentration"	"ng/µl"
"P104.2AL"	"P104.2AL_preserved"	44	"dry weight biomass"	"mg"
"IM18_116"	"P104.2AL_pure"	20	"DNA concentration"	"ng/µl"
"P104.2AS"	"P104.2AS_preserved"	100	"dry weight biomass"	"mg"
"IM18_115"	"P104.2AS_pure"	45	"DNA concentration"	"ng/µl"
"P104.2BL"	"P104.2BL_preserved"	19	"dry weight biomass"	"mg"
"IM18_118"	"P104.2BL_pure"	9	"DNA concentration"	"ng/µl"
"P104.2BS"	"P104.2BS_preserved"	108	"dry weight biomass"	"mg"
"IM18_117"	"P104.2BS_pure"	50	"DNA concentration"	"ng/µl"
"P105.1AL"	"P105.1AL_preserved"	70	"dry weight biomass"	"mg"
"IM18_676"	"P105.1AL_pure"	17	"DNA concentration"	"ng/µl"
"P105.1AS"	"P105.1AS_preserved"	212	"dry weight biomass"	"mg"
"IM18_675"	"P105.1AS_pure"	58	"DNA concentration"	"ng/µl"
"P105.1BL"	"P105.1BL_preserved"	30	"dry weight biomass"	"mg"
"IM18_678"	"P105.1BL_pure"	5	"DNA concentration"	"ng/µl"
"P105.1BS"	"P105.1BS_preserved"	182	"dry weight biomass"	"mg"
"IM18_677"	"P105.1BS_pure"	55	"DNA concentration"	"ng/µl"
"P105.2AL"	"P105.2AL_preserved"	48	"dry weight biomass"	"mg"
"IM18_788"	"P105.2AL_pure"	20	"DNA concentration"	"ng/µl"
"P105.2AS"	"P105.2AS_preserved"	96	"dry weight biomass"	"mg"
"IM18_787"	"P105.2AS_pure"	36	"DNA concentration"	"ng/µl"
"P105.2BL"	"P105.2BL_preserved"	30	"dry weight biomass"	"mg"
"IM18_790"	"P105.2BL_pure"	1	"DNA concentration"	"ng/µl"
"P105.2BS"	"P105.2BS_preserved"	519	"dry weight biomass"	"mg"
"IM18_789"	"P105.2BS_pure"	141	"DNA concentration"	"ng/µl"
"P106.1AS"	"P106.1AS_preserved"	62.67	"dry weight biomass"	"mg"
"IM18_119"	"P106.1AS_pure"	25	"DNA concentration"	"ng/µl"
"P106.1BS"	"P106.1BS_preserved"	63	"dry weight biomass"	"mg"
"IM18_121"	"P106.1BS_pure"	22	"DNA concentration"	"ng/µl"
"P106.2AL"	"P106.2AL_preserved"	8.45	"dry weight biomass"	"mg"
"IM18_123"	"P106.2AL_pure"	1	"DNA concentration"	"ng/µl"
"P106.2AS"	"P106.2AS_preserved"	45	"dry weight biomass"	"mg"
"IM18_122"	"P106.2AS_pure"	15	"DNA concentration"	"ng/µl"
"P106.2BL"	"P106.2BL_preserved"	32.08	"dry weight biomass"	"mg"
"IM18_125"	"P106.2BL_pure"	6	"DNA concentration"	"ng/µl"
"P106.2BS"	"P106.2BS_preserved"	32.09	"dry weight biomass"	"mg"
"IM18_124"	"P106.2BS_pure"	20	"DNA concentration"	"ng/µl"
"P107.1AS"	"P107.1AS_preserved"	54	"dry weight biomass"	"mg"
"IM18_1013"	"P107.1AS_pure"	24	"DNA concentration"	"ng/µl"
"P107.1BL"	"P107.1BL_preserved"	12	"dry weight biomass"	"mg"
"P107.1BS"	"P107.1BS_preserved"	92	"dry weight biomass"	"mg"
"P107.2AS"	"P107.2AS_preserved"	13	"dry weight biomass"	"mg"
"P107.2BS"	"P107.2BS_preserved"	29	"dry weight biomass"	"mg"
"P108.1AS"	"P108.1AS_preserved"	25	"dry weight biomass"	"mg"
"IM18_322"	"P108.1AS_pure"	8	"DNA concentration"	"ng/µl"
"P108.1BL"	"P108.1BL_preserved"	13	"dry weight biomass"	"mg"
"P108.1BS"	"P108.1BS_preserved"	71	"dry weight biomass"	"mg"
"P108.2AS"	"P108.2AS_preserved"	11	"dry weight biomass"	"mg"
"IM18_791"	"P108.2AS_pure"	7	"DNA concentration"	"ng/µl"
"P108.2BS"	"P108.2BS_preserved"	60	"dry weight biomass"	"mg"
"IM18_792"	"P108.2BS_pure"	42	"DNA concentration"	"ng/µl"
"P11.1AL"	"P11.1AL_preserved"	22.13	"dry weight biomass"	"mg"
"IM18_34"	"P11.1AL_pure"	2	"DNA concentration"	"ng/µl"
"P11.1AS"	"P11.1AS_preserved"	46.72	"dry weight biomass"	"mg"
"IM18_33"	"P11.1AS_pure"	23	"DNA concentration"	"ng/µl"
"P11.1BL"	"P11.1BL_preserved"	67	"dry weight biomass"	"mg"
"IM18_36"	"P11.1BL_pure"	16	"DNA concentration"	"ng/µl"
"P11.1BS"	"P11.1BS_preserved"	144	"dry weight biomass"	"mg"
"IM18_35"	"P11.1BS_pure"	38	"DNA concentration"	"ng/µl"
"P11.2AL"	"P11.2AL_preserved"	40	"dry weight biomass"	"mg"
"IM18_8"	"P11.2AL_pure"	9	"DNA concentration"	"ng/µl"
"P11.2AS"	"P11.2AS_preserved"	97	"dry weight biomass"	"mg"
"IM18_7"	"P11.2AS_pure"	48	"DNA concentration"	"ng/µl"
"P11.2BS"	"P11.2BS_preserved"	61	"dry weight biomass"	"mg"
"IM18_9"	"P11.2BS_pure"	37	"DNA concentration"	"ng/µl"
"P110.1AS"	"P110.1AS_preserved"	5	"dry weight biomass"	"mg"
"IM18_697"	"P110.1AS_pure"	4	"DNA concentration"	"ng/µl"
"P110.1BS"	"P110.1BS_preserved"	40	"dry weight biomass"	"mg"
"IM18_596"	"P110.1BS_pure"	31	"DNA concentration"	"ng/µl"
"P110.2AL"	"P110.2AL_preserved"	30	"dry weight biomass"	"mg"
"IM18_993"	"P110.2AL_pure"	37	"DNA concentration"	"ng/µl"
"P110.2AS"	"P110.2AS_preserved"	70	"dry weight biomass"	"mg"
"IM18_992"	"P110.2AS_pure"	36	"DNA concentration"	"ng/µl"
"P110.2BL"	"P110.2BL_preserved"	2	"dry weight biomass"	"mg"
"IM18_995"	"P110.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P110.2BS"	"P110.2BS_preserved"	80	"dry weight biomass"	"mg"
"IM18_994"	"P110.2BS_pure"	38	"DNA concentration"	"ng/µl"
"P112.1AL"	"P112.1AL_preserved"	69	"dry weight biomass"	"mg"
"IM18_699"	"P112.1AL_pure"	14	"DNA concentration"	"ng/µl"
"P112.1AS"	"P112.1AS_preserved"	133	"dry weight biomass"	"mg"
"IM18_698"	"P112.1AS_pure"	58	"DNA concentration"	"ng/µl"
"IM18_3"	"P112.1BS_pure"	49	"DNA concentration"	"ng/µl"
"IM18_297"	"P112.1BS_pure"	42	"DNA concentration"	"ng/µl"
"P112.2AL"	"P112.2AL_preserved"	32	"dry weight biomass"	"mg"
"IM18_701"	"P112.2AL_pure"	19	"DNA concentration"	"ng/µl"
"P112.2AS"	"P112.2AS_preserved"	197	"dry weight biomass"	"mg"
"IM18_700"	"P112.2AS_pure"	52	"DNA concentration"	"ng/µl"
"P112.2BL"	"P112.2BL_preserved"	2	"dry weight biomass"	"mg"
"IM18_127"	"P112.2BL_pure"	2	"DNA concentration"	"ng/µl"
"P112.2BS"	"P112.2BS_preserved"	264	"dry weight biomass"	"mg"
"IM18_126"	"P112.2BS_pure"	54	"DNA concentration"	"ng/µl"
"P113.2AS"	"P113.2AS_preserved"	4	"dry weight biomass"	"mg"
"IM18_1014"	"P113.2AS_pure"	2	"DNA concentration"	"ng/µl"
"P113.2BS"	"P113.2BS_preserved"	11	"dry weight biomass"	"mg"
"IM18_527"	"P113.2BS_pure"	7	"DNA concentration"	"ng/µl"
"P114.1AL"	"P114.1AL_preserved"	54	"dry weight biomass"	"mg"
"IM18_703"	"P114.1AL_pure"	9	"DNA concentration"	"ng/µl"
"P114.1AS"	"P114.1AS_preserved"	261	"dry weight biomass"	"mg"
"IM18_702"	"P114.1AS_pure"	53	"DNA concentration"	"ng/µl"
"P114.1BS"	"P114.1BS_preserved"	568	"dry weight biomass"	"mg"
"IM18_528"	"P114.1BS_pure"	97	"DNA concentration"	"ng/µl"
"P114.2AL"	"P114.2AL_preserved"	21	"dry weight biomass"	"mg"
"IM18_794"	"P114.2AL_pure"	12	"DNA concentration"	"ng/µl"
"P114.2AS"	"P114.2AS_preserved"	102	"dry weight biomass"	"mg"
"IM18_793"	"P114.2AS_pure"	43	"DNA concentration"	"ng/µl"
"P114.2BL"	"P114.2BL_preserved"	41	"dry weight biomass"	"mg"
"IM18_796"	"P114.2BL_pure"	5	"DNA concentration"	"ng/µl"
"P114.2BS"	"P114.2BS_preserved"	294	"dry weight biomass"	"mg"
"IM18_795"	"P114.2BS_pure"	91	"DNA concentration"	"ng/µl"
"P115.1AL"	"P115.1AL_preserved"	58	"dry weight biomass"	"mg"
"IM18_354"	"P115.1AL_pure"	6	"DNA concentration"	"ng/µl"
"P115.1AS"	"P115.1AS_preserved"	106	"dry weight biomass"	"mg"
"IM18_353"	"P115.1AS_pure"	31	"DNA concentration"	"ng/µl"
"P115.1BL"	"P115.1BL_preserved"	10	"dry weight biomass"	"mg"
"IM18_356"	"P115.1BL_pure"	8	"DNA concentration"	"ng/µl"
"P115.1BS"	"P115.1BS_preserved"	131	"dry weight biomass"	"mg"
"IM18_355"	"P115.1BS_pure"	51	"DNA concentration"	"ng/µl"
"P115.2AL"	"P115.2AL_preserved"	19	"dry weight biomass"	"mg"
"IM18_798"	"P115.2AL_pure"	4	"DNA concentration"	"ng/µl"
"P115.2AS"	"P115.2AS_preserved"	56	"dry weight biomass"	"mg"
"IM18_797"	"P115.2AS_pure"	39	"DNA concentration"	"ng/µl"
"P115.2BL"	"P115.2BL_preserved"	20	"dry weight biomass"	"mg"
"IM18_800"	"P115.2BL_pure"	3	"DNA concentration"	"ng/µl"
"P115.2BS"	"P115.2BS_preserved"	157	"dry weight biomass"	"mg"
"IM18_799"	"P115.2BS_pure"	51	"DNA concentration"	"ng/µl"
"P116.1AL"	"P116.1AL_preserved"	38	"dry weight biomass"	"mg"
"IM18_1040"	"P116.1AL_pure"	20	"DNA concentration"	"ng/µl"
"P116.1AS"	"P116.1AS_preserved"	51	"dry weight biomass"	"mg"
"IM18_1039"	"P116.1AS_pure"	32	"DNA concentration"	"ng/µl"
"P116.1BL"	"P116.1BL_preserved"	150	"dry weight biomass"	"mg"
"IM18_649"	"P116.1BL_pure"	29	"DNA concentration"	"ng/µl"
"P116.1BS"	"P116.1BS_preserved"	75	"dry weight biomass"	"mg"
"IM18_648"	"P116.1BS_pure"	47	"DNA concentration"	"ng/µl"
"P116.2AL"	"P116.2AL_preserved"	15	"dry weight biomass"	"mg"
"IM18_802"	"P116.2AL_pure"	15	"DNA concentration"	"ng/µl"
"P116.2AS"	"P116.2AS_preserved"	5	"dry weight biomass"	"mg"
"IM18_801"	"P116.2AS_pure"	3	"DNA concentration"	"ng/µl"
"P116.2BL"	"P116.2BL_preserved"	90	"dry weight biomass"	"mg"
"IM18_804"	"P116.2BL_pure"	19	"DNA concentration"	"ng/µl"
"P116.2BS"	"P116.2BS_preserved"	92	"dry weight biomass"	"mg"
"IM18_803"	"P116.2BS_pure"	45	"DNA concentration"	"ng/µl"
