"surveyTargetID"	"surveyID"	"surveyTargetType"	"surveyTargetValue"	"includeOrExclude"	"isSurveyTargetFullyReported"
"P300.2A_taxon"	"P300.2A"	"taxon"	"Insecta"	"include"	"true"
"P300.2B_taxon"	"P300.2B"	"taxon"	"Insecta"	"include"	"true"
"P15.1A_taxon"	"P15.1A"	"taxon"	"Insecta"	"include"	"true"
"P15.1B_taxon"	"P15.1B"	"taxon"	"Insecta"	"include"	"true"
"P224.1A_taxon"	"P224.1A"	"taxon"	"Insecta"	"include"	"true"
"P224.1B_taxon"	"P224.1B"	"taxon"	"Insecta"	"include"	"true"
"P15.2A_taxon"	"P15.2A"	"taxon"	"Insecta"	"include"	"true"
"P15.2B_taxon"	"P15.2B"	"taxon"	"Insecta"	"include"	"true"
"P224.2A_taxon"	"P224.2A"	"taxon"	"Insecta"	"include"	"true"
"P224.2B_taxon"	"P224.2B"	"taxon"	"Insecta"	"include"	"true"
"P16.1A_taxon"	"P16.1A"	"taxon"	"Insecta"	"include"	"true"
"P16.1B_taxon"	"P16.1B"	"taxon"	"Insecta"	"include"	"true"
"P16.2A_taxon"	"P16.2A"	"taxon"	"Insecta"	"include"	"true"
"P16.2B_taxon"	"P16.2B"	"taxon"	"Insecta"	"include"	"true"
"P323.1A_taxon"	"P323.1A"	"taxon"	"Insecta"	"include"	"true"
"P323.1B_taxon"	"P323.1B"	"taxon"	"Insecta"	"include"	"true"
"P17.1A_taxon"	"P17.1A"	"taxon"	"Insecta"	"include"	"true"
"P17.1B_taxon"	"P17.1B"	"taxon"	"Insecta"	"include"	"true"
"P270.1A_taxon"	"P270.1A"	"taxon"	"Insecta"	"include"	"true"
"P270.1B_taxon"	"P270.1B"	"taxon"	"Insecta"	"include"	"true"
"P17.2A_taxon"	"P17.2A"	"taxon"	"Insecta"	"include"	"true"
"P17.2B_taxon"	"P17.2B"	"taxon"	"Insecta"	"include"	"true"
"P270.2A_taxon"	"P270.2A"	"taxon"	"Insecta"	"include"	"true"
"P270.2B_taxon"	"P270.2B"	"taxon"	"Insecta"	"include"	"true"
"P18.1A_taxon"	"P18.1A"	"taxon"	"Insecta"	"include"	"true"
"P18.1B_taxon"	"P18.1B"	"taxon"	"Insecta"	"include"	"true"
"P18.2A_taxon"	"P18.2A"	"taxon"	"Insecta"	"include"	"true"
"P18.2B_taxon"	"P18.2B"	"taxon"	"Insecta"	"include"	"true"
"P19.1A_taxon"	"P19.1A"	"taxon"	"Insecta"	"include"	"true"
"P19.1B_taxon"	"P19.1B"	"taxon"	"Insecta"	"include"	"true"
"P195.1A_taxon"	"P195.1A"	"taxon"	"Insecta"	"include"	"true"
"P195.1B_taxon"	"P195.1B"	"taxon"	"Insecta"	"include"	"true"
"P19.2A_taxon"	"P19.2A"	"taxon"	"Insecta"	"include"	"true"
"P19.2B_taxon"	"P19.2B"	"taxon"	"Insecta"	"include"	"true"
"P20.1A_taxon"	"P20.1A"	"taxon"	"Insecta"	"include"	"true"
"P20.1B_taxon"	"P20.1B"	"taxon"	"Insecta"	"include"	"true"
"P284.1A_taxon"	"P284.1A"	"taxon"	"Insecta"	"include"	"true"
"P284.1B_taxon"	"P284.1B"	"taxon"	"Insecta"	"include"	"true"
"P20.2A_taxon"	"P20.2A"	"taxon"	"Insecta"	"include"	"true"
"P20.2B_taxon"	"P20.2B"	"taxon"	"Insecta"	"include"	"true"
"P21.1A_taxon"	"P21.1A"	"taxon"	"Insecta"	"include"	"true"
"P21.1B_taxon"	"P21.1B"	"taxon"	"Insecta"	"include"	"true"
"P269.1A_taxon"	"P269.1A"	"taxon"	"Insecta"	"include"	"true"
"P269.1B_taxon"	"P269.1B"	"taxon"	"Insecta"	"include"	"true"
"P21.2A_taxon"	"P21.2A"	"taxon"	"Insecta"	"include"	"true"
"P21.2B_taxon"	"P21.2B"	"taxon"	"Insecta"	"include"	"true"
"P22.1A_taxon"	"P22.1A"	"taxon"	"Insecta"	"include"	"true"
"P22.1B_taxon"	"P22.1B"	"taxon"	"Insecta"	"include"	"true"
"P22.2A_taxon"	"P22.2A"	"taxon"	"Insecta"	"include"	"true"
"P22.2B_taxon"	"P22.2B"	"taxon"	"Insecta"	"include"	"true"
"P23.1A_taxon"	"P23.1A"	"taxon"	"Insecta"	"include"	"true"
"P23.1B_taxon"	"P23.1B"	"taxon"	"Insecta"	"include"	"true"
"P194.1A_taxon"	"P194.1A"	"taxon"	"Insecta"	"include"	"true"
"P194.1B_taxon"	"P194.1B"	"taxon"	"Insecta"	"include"	"true"
"P23.2A_taxon"	"P23.2A"	"taxon"	"Insecta"	"include"	"true"
"P23.2B_taxon"	"P23.2B"	"taxon"	"Insecta"	"include"	"true"
"P228.1A_taxon"	"P228.1A"	"taxon"	"Insecta"	"include"	"true"
"P228.1B_taxon"	"P228.1B"	"taxon"	"Insecta"	"include"	"true"
"P24.1A_taxon"	"P24.1A"	"taxon"	"Insecta"	"include"	"true"
"P24.1B_taxon"	"P24.1B"	"taxon"	"Insecta"	"include"	"true"
"P228.2A_taxon"	"P228.2A"	"taxon"	"Insecta"	"include"	"true"
"P228.2B_taxon"	"P228.2B"	"taxon"	"Insecta"	"include"	"true"
"P24.2A_taxon"	"P24.2A"	"taxon"	"Insecta"	"include"	"true"
"P24.2B_taxon"	"P24.2B"	"taxon"	"Insecta"	"include"	"true"
"P25.1A_taxon"	"P25.1A"	"taxon"	"Insecta"	"include"	"true"
"P25.1B_taxon"	"P25.1B"	"taxon"	"Insecta"	"include"	"true"
"P279.1A_taxon"	"P279.1A"	"taxon"	"Insecta"	"include"	"true"
"P279.1B_taxon"	"P279.1B"	"taxon"	"Insecta"	"include"	"true"
"P25.2A_taxon"	"P25.2A"	"taxon"	"Insecta"	"include"	"true"
"P25.2B_taxon"	"P25.2B"	"taxon"	"Insecta"	"include"	"true"
"P279.2A_taxon"	"P279.2A"	"taxon"	"Insecta"	"include"	"true"
"P279.2B_taxon"	"P279.2B"	"taxon"	"Insecta"	"include"	"true"
"P26.1A_taxon"	"P26.1A"	"taxon"	"Insecta"	"include"	"true"
"P26.1B_taxon"	"P26.1B"	"taxon"	"Insecta"	"include"	"true"
