"materialEntityID"	"eventID"	"materialCategory"	"materialEntityType"	"institutionCode"	"institutionID"	"ownerInstitutionCode"	"ownerInstitutionID"	"collectionCode"	"catalogNumber"	"preparations"	"disposition"	"derivedFromMaterialEntityID"
"P8.2AL"	"P8.2A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P8.2AS"	"P8.2A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P8.2BL"	"P8.2B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P8.2BS"	"P8.2B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P9.1AS"	"P9.1A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P9.1BS"	"P9.1B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P9.2AS"	"P9.2A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P9.2BL"	"P9.2B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P9.2BS"	"P9.2B"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
"P10.1AL"	"P10.1A"	"preserved"	"size sorted bulk insect sample"	"NHMD "	"https://ror.org/040ck2b86"	"NHMD"	"https://ror.org/040ck2b86"	"IV"	"ACC.NO. 2018-EN-001DK"	"bulk insect sample (EToH)"	"in collection"	
