"mediaID"	"mediaType"	"accessURI"	"format"	"rights"	"Owner"	"mediaDescription"
"P10.2AS_01L11S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_05SP10.2AS_wet_2018_01L11S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2AS_01L11S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_06SP10.2AS_wet_2018_01L11S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2AS_01L11S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_07SP10.2AS_wet_2018_01L11S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2AS_01L11S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_08SP10.2AS_wet_2018_01L11S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2AS_01L11S_09S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_09SP10.2AS_wet_2018_01L11S_09S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2AS_01L11S_10S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_10SP10.2AS_wet_2018_01L11S_10S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2AS_01L11S_11S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2ASP10.2AS_01L11S_11SP10.2AS_wet_2018_01L11S_11S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BL_01L15S_01L"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BLP10.2BL_01L15S_01LP10.2BL_wet_2018_01L15S_01L.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_01S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_01SP10.2BS_wet_2018_01L15S_01S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_02S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_02SP10.2BS_wet_2018_01L15S_02S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_03S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_03SP10.2BS_wet_2018_01L15S_03S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_04S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_04SP10.2BS_wet_2018_01L15S_04S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_05S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_05SP10.2BS_wet_2018_01L15S_05S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_06S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_06SP10.2BS_wet_2018_01L15S_06S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_07S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_07SP10.2BS_wet_2018_01L15S_07S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_08S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_08SP10.2BS_wet_2018_01L15S_08S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_09S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_09SP10.2BS_wet_2018_01L15S_09S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_10S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_10SP10.2BS_wet_2018_01L15S_10S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_11S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_11SP10.2BS_wet_2018_01L15S_11S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_12S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_12SP10.2BS_wet_2018_01L15S_12S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
"P10.2BS_01L15S_13S"	"StillImage"	"https://media.danbif.dk/media/insektmobil/StillImageP10.2BSP10.2BS_01L15S_13SP10.2BS_wet_2018_01L15S_13S.jpg"	"image/jpg"	"https://creativecommons.org/licenses/by-nc/4.0/legalcode"	"Natural History Muesum of Denmark"	"Images of bulk insect samples. Note that multiple images may be associated with one Material"
