"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","eventID","passNumber","specimenNumber","taxonID","scientificName","taxonRank","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","fishTotalLength","fishWeight","delt","efMortality","efInjury","fishLifeStage","sampleTypeCollected","voucherSampleID","dnaSampleID","identifiedBy","remarks","publicationDate","release"
"04919cd6-c8b3-4284-81e1-35182938f8ad","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,8,"SALTRU","Salmo trutta","species",NA,NA,NA,222,90,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"2f67ac4e-5a55-42fe-8f45-b64e9d6f2512","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,19,"SALSP2","Salmonidae sp.","family",NA,NA,NA,99,9,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"2e104ff3-7099-4fb6-8ea8-b73515da0605","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,5,"SALTRU","Salmo trutta","species",NA,NA,NA,127,16,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"12799340-4617-46d7-a9a3-4683e32973b1","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,6,"SALSP2","Salmonidae sp.","family",NA,NA,NA,86,7,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"7a5ef2dd-64c5-4ddc-888d-158763487cd6","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,4,"SALTRU","Salmo trutta","species",NA,NA,NA,103,10,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c3827862-720d-40cd-9ddf-303f02f63fd9","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,11,"SALTRU","Salmo trutta","species",NA,NA,NA,118,15,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c4eb481b-197d-4b7f-8275-76d6aab9fdc1","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,15,"SALTRU","Salmo trutta","species",NA,NA,NA,221,96,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"088d725b-4723-4503-aa50-ac647cda26e1","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,27,"SALTRU","Salmo trutta","species",NA,NA,NA,109,11,NA,"Y",NA,"juvenile","voucher sample only","FSH.BIGC.01.20190422.1.0027",NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"1afac3c8-26dc-4b0b-b992-6c9150ffa6dc","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,12,"SALTRU","Salmo trutta","species",NA,NA,NA,106,10,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"d6aa4186-e659-4c80-91ba-4fb76878388a","D17","BIGC","BIGC.AOS.fish.point.01",2019-04-22 17:45:00,2019-04-22 20:15:00,"BIGC.20190422.01.1.e-fisher",1,25,"SALTRU","Salmo trutta","species",NA,NA,NA,107,12,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
