"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","passNumber","eventID","taxonID","scientificName","morphospeciesID","bulkFishCount","actualOrEstimated","identificationQualifier","identifiedBy","remarks","publicationDate","release"
"211534c2-6c7f-41ce-a470-6da2fc4e1896","D17","BIGC","BIGC.AOS.fish.point.04",2019-10-22 16:10:00,2019-10-22 18:15:00,1,"BIGC.20191022.04.1.e-fisher","SALTRU","Salmo trutta",NA,16,"actual",NA,"0000-0001-7072-0706",NA,"20231227T191439Z","RELEASE-2024"
"9e16ce56-2a7b-4206-b10b-15ac92f6121a","D17","BIGC","BIGC.AOS.fish.point.05",2019-10-23 16:15:00,2019-10-23 17:40:00,1,"BIGC.20191023.05.1.e-fisher","SALTRU","Salmo trutta",NA,22,"actual",NA,"0000-0001-7072-0706",NA,"20231227T191439Z","RELEASE-2024"
"e1e448b4-3777-4468-bc5f-777a0ffc17ce","D17","BIGC","BIGC.AOS.fish.point.08",2019-10-24 16:18:00,2019-10-24 17:50:00,1,"BIGC.20191024.08.1.e-fisher","SALTRU","Salmo trutta",NA,36,"actual",NA,"0000-0001-7072-0706",NA,"20231227T191439Z","RELEASE-2024"
"21081124-68c6-4310-9769-44229aaf8d9a","D17","BIGC","BIGC.AOS.fish.point.09",2019-10-24 18:47:00,2019-10-24 20:04:00,1,"BIGC.20191024.09.1.e-fisher","SALTRU","Salmo trutta",NA,29,"actual",NA,"0000-0001-7072-0706",NA,"20231227T191439Z","RELEASE-2024"
