surveyID	agentID	agentRole
BROKE_WEST_RMT_001_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_001_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_002_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_002_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_003_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_003_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_022_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_022_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_004_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_004_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_005_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_005_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_006_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_006_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_007_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_007_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_008_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_008_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_009_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_009_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_010_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_010_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_011_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_011_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_012_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_012_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_013_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_013_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_014_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_014_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_015_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_015_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_016_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_016_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_017_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_017_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_018_RMT1	AVdP_collector	collector
BROKE_WEST_RMT_018_RMT8	AVdP_collector	collector
BROKE_WEST_RMT_019_RMT1	AVdP_collector	collector
