identificationID	identificationBasedOnMaterialEntityID	identificationType	identificationTypeIRI	verbatimIdentification	identifiedBy	identifiedByID	identificationReferences	identificationRemarks	taxonID	kingdom	scientificName	taxonRank
AAV3FF_00332_ID	AAV3FF_00332	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
AAV3FF_00333_ID	AAV3FF_00333	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
AAV3FF_00334_ID	AAV3FF_00334	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
AAV3FF_00335_ID	AAV3FF_00335	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074	closely resembles bathydraco antarcticus according to kellerman	urn:lsid:marinespecies.org:taxname:234552	Animalia	Bathydraco	Genus
AAV3FP_00026_ID	AAV3FP_00026	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
AAV3FF_00336_ID	AAV3FF_00336	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
AAV3FF_00337_ID	AAV3FF_00337	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
AAV3FF_00338_ID	AAV3FF_00338	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
AAV3FF_00339_ID	AAV3FF_00339	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Trematomus sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234566	Animalia	Trematomus	Genus
AAV3FF_00340_ID	AAV3FF_00340	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00341_ID	AAV3FF_00341	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Gymnodraco acuticeps	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234800	Animalia	Gymnodraco acuticeps	Species
AAV3FF_00342_ID	AAV3FF_00342	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:1621601	Animalia	Pagetopsis maculatus	Species
AAV3FF_00343_ID	AAV3FF_00343	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pogonophryne marmorata	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234730	Animalia	Pogonophryne marmorata	Species
AAV3FF_00344_ID	AAV3FF_00344	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
AAV3FF_00345_ID	AAV3FF_00345	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00346_ID	AAV3FF_00346	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00347_ID	AAV3FF_00347	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Bathydraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234552	Animalia	Bathydraco	Genus
AAV3FF_00348_ID	AAV3FF_00348	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00349_ID	AAV3FF_00349	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:1621601	Animalia	Pagetopsis maculatus	Species
AAV3FF_00350_ID	AAV3FF_00350	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pogonophryne marmorata	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234730	Animalia	Pogonophryne marmorata	Species
AAV3FF_00351_ID	AAV3FF_00351	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pagetopsis maculatus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:1621601	Animalia	Pagetopsis maculatus	Species
AAV3FF_00352_ID	AAV3FF_00352	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00353_ID	AAV3FF_00353	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Pleuragramma antarcticum	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234721	Animalia	Pleuragramma antarcticum	Species
AAV3FF_00354_ID	AAV3FF_00354	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00355_ID	AAV3FF_00355	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00356_ID	AAV3FF_00356	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Trematomus sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234566	Animalia	Trematomus	Genus
AAV3FF_00358_ID	AAV3FF_00358	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Cryodraco antarcticus	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234720	Animalia	Cryodraco antarcticus	Species
AAV3FF_00359_ID	AAV3FF_00359	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Chionodraco sp.	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234582	Animalia	Chionodraco	Genus
AAV3FF_00360_ID	AAV3FF_00360	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Notolepis coatsi	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:234695	Animalia	Notolepis coatsi	Species
AAV3FF_00361_ID	AAV3FF_00361	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
AAV3FF_00362_ID	AAV3FF_00362	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
AAV3FF_00363_ID	AAV3FF_00363	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
AAV3FF_00364_ID	AAV3FF_00364	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
AAV3FF_00365_ID	AAV3FF_00365	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
AAV3FF_00366_ID	AAV3FF_00366	MaterialEntity	http://rs.tdwg.org/dwc/terms/MaterialEntity	Electrona antarctica	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	https://archive.org/details/fishesofsouthern00gono | Kellermann, A. (1990): Identification Key and Catalogue of Larval Antarctic Fishes , Berichte zur Polarforschung (Reports on Polar Research), Bremerhaven, Alfred Wegener Institute for Polar and Marine Research, 67 , 136 p. . doi: 10.2312/BzP_0067_1990 | https://archive.org/details/cybium-7-002-003-074		urn:lsid:marinespecies.org:taxname:217697	Animalia	Electrona antarctica	Species
