assertionID	eventID	verbatimAssertionType	assertionType	assertionTypeIRI	assertionTypeVocabulary	assertionMadeDate	assertionEffectiveDate	assertionValue	assertionValueIRI	assertionValueVocabulary	assertionValueNumeric	assertionUnit	assertionUnitIRI	assertionUnitVocabulary	assertionBy	assertionByID	assertionProtocols	assertionProtocolID	assertionReferences	assertionRemarks
a66cdd1b-60fc-49d9-8e04-6e00a460e68c	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
ac937a82-a5a2-4e01-bee6-730bf25bbba0	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
3b3acf4b-d6cf-4efc-be55-6602014c2ce1	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
b7cdb079-cda8-4cb8-81b3-a8626a784d4b	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
9247acbb-dc7a-494c-9019-f1f842b810e7	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
4dc63246-b50b-48e2-baa0-784568b8422c	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
867e23cb-a7a0-443c-905e-4ddb0d75c653	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
c21ef89c-59ef-40dd-be8d-a910fa14adef	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
c26fb89c-08bd-43f9-8d60-ff010b96ab49	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
78d1c3be-9cc2-4710-92ae-af16a4493aae	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
cad4048b-61de-446f-a157-073d9f4d4aed	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
e0d9cf93-c2c2-4bfc-8a88-4f984f9da198	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
7aa68d38-e15b-430f-9274-e42dbf91c61f	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
1627bb64-b4c1-4e0c-b4b2-fba6a7906b3c	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
ad9357ed-58b6-4a86-973f-d7a4efdfcb73	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
9eb72aa3-392f-463f-927b-ac3963f4cabe	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
9c138d87-fe7b-4aec-8ef1-c2bbc1e02f42	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
498909d0-4605-46ed-883d-109618324d95	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
bf2a6093-fbf4-4774-876b-dbec0f12473f	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
4e625963-6aee-415e-a649-1fb0b0b7f97b	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
08e5ddf1-824b-4eb2-830a-761bfeee6ae4	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
5c886d9e-ca74-48cc-bcc7-d689a594e40d	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
dc200ec9-162b-4c22-aaa4-66e841192b2a	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
e919e278-2c58-4948-bc2a-cc285085e00a	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
fd6ab30f-05e7-4dbe-9c33-8fce2afe38e9	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
235e63c7-8852-4786-86e1-14d116da0d17	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
7bf565b5-c6bb-4d77-a31c-338bdef34284	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
89a51128-f150-4051-9bfc-863681655b01	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
4f32de55-0dbf-4c32-b74d-7bc57f7e5050	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
624e1755-e58f-4445-8395-58d506c9267f	BIGC.20190425.08.1.e-fisher		Number of the sampling pass within a reach								1									
c423b063-0ecc-4dda-9590-b1ceb93cbc77	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
2c9339f6-325d-487a-a009-15351446b03d	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
56b5569a-4473-41c3-863f-c2cb14e0d586	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
c8479a36-42cf-482c-935a-efee8d78c0f1	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
98752f9c-eb9a-4082-a492-8a8d4326ab32	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
e8a5f3e8-2b94-4a0b-877d-c014aafcd7aa	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
c42a7cc1-f41c-4176-bfdc-c6a711610680	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
88ec9a0d-15a3-4cc4-82c0-b2c747693ce7	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
509efe5f-bab8-4521-846d-30c69980a09f	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
8b98f50d-538d-4f30-9af3-3001856010d3	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
7b65ff37-597a-4048-be19-ebb19e06bef6	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
ef58cd0d-fa26-4b56-8d50-ac39f40d4dc9	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
4a3c2389-bb6b-48d3-b2e1-a1ac307a1db0	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
fad1d694-fb18-4b59-aa9e-e39600a3663e	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
58e93d3c-1e45-40a2-9a31-369ff0862b30	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
c108b26b-6833-483b-9f2e-5b68b728b061	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
760291eb-00c0-4f77-98a9-d64e343d0938	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
0d69bfc9-9cde-4923-a1e7-b5949f256294	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
2bdacbca-8f89-46a0-838e-94003bf2a5ca	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
c6ab53b4-e20f-470f-8270-2d9af0dfd482	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
871bbf4d-514e-477c-9841-ac2c27cd95e4	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
34520308-128f-4493-b2ce-b05a7a902c2c	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
415fd43f-e1f5-4c3b-9802-7c2b31a0a26a	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
31541ab8-3a11-4c38-8542-2cb7a17c6f0e	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
7396864c-eec0-48d4-9ead-5e9d8e6c6786	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
712b8088-26ff-4f93-90cf-62abd1128f23	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
58be8756-a4c6-4149-bb92-72bdee4a0e4a	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
03914d88-575f-4511-a695-27ab460f0d48	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
942ca5a8-ecad-4733-a409-2ef14841be33	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
fbc7dfb1-544c-484c-8fed-12640972ddcd	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
eab34693-cb99-489c-98ed-8604a68d61c8	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
1afa515b-4df3-4993-9dcc-e612a87c16cf	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
fe70f70c-7298-4aeb-a7b2-1753c5b57fad	BIGC.20190425.09.1.e-fisher		Number of the sampling pass within a reach								1									
efcb89a4-1fc3-42d9-afed-ae23ce7e6005	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
dd8d1335-dd35-4786-9939-6698b4bff5fc	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
67d643aa-a2b4-4c22-a35a-1fa4f93798dd	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
c8f67bf2-1c61-45d4-ae60-2376e8878163	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
d63c0e96-3d5b-4b0a-bd7d-411cff958c73	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
6972f182-e5af-4fa1-98d8-a01ab74be3f1	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
170d1d8a-1a44-4394-ab2d-2b1af996cfe6	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
c132d29c-0ed4-4005-bb77-dbce24edd467	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
9441d373-3589-40ae-a33d-4d566ee72d09	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
d661c8c4-0d56-458b-ae27-91b9e9766c9e	BIGC.20191021.01.1.e-fisher		Number of the sampling pass within a reach								1									
