eventID	parentEventID	preferredEventName	eventCategory	eventType	datasetName	datasetID	fieldNumber	eventConductedBy	eventConductedByID	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	verbatimLocality	verbatimElevation	verbatimDepth	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	georeferenceVerificationStatus	habitat	eventEffort	fieldNotes	eventReferences	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	minimumElevationInMeters	maximumElevationInMeters	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedByID	georeferencedDate	georeferenceProtocol	georeferenceProtocolID	georeferenceSources	georeferenceRemarks	informationWithheld	dataGeneralizations	preferredSpatialRepresentation	projectID	projectTitle	fundingAttribution	fundingAttributionID	feedbackURL
BIGC.20190422.01.2.e-fisher	BIGC.20190422.01		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0001-5717-3867 | 0000-0003-2386-8235		2019-04-22T21:33:00/2019-04-22T22:33:00				2019	4	22											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.20190422.01.3.e-fisher	BIGC.20190422.01		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0001-5717-3867 | 0000-0003-2386-8235		2019-04-22T23:00:00/2019-04-23T00:05:00				2019	4	22											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.20191021.01.1.e-fisher	BIGC.20191021.01		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-21T16:15:00/2019-10-21T17:25:00				2019	10	21											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.20191021.01.2.e-fisher	BIGC.20191021.01		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-21T18:45:00/2019-10-21T19:32:00				2019	10	21											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.20191021.01.3.e-fisher	BIGC.20191021.01		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-21T20:14:00/2019-10-21T20:58:00				2019	10	21											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.01	1130.8	1131.6							37.057599	-119.255367	WGS84	0.3	0.000001														point-radius					
BIGC.20190425.09.1.e-fisher	BIGC.20190425.09		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0003-3756-1381 | 0000-0003-2386-8235		2019-04-25T21:00:00/2019-04-25T22:55:00				2019	4	25											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.09	1137.3	1137.9							37.062076	-119.258599	WGS84	0.2	0.000001														point-radius					
BIGC.20190425.08.1.e-fisher	BIGC.20190425.08		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0003-3756-1381 | 0000-0003-2386-8235		2019-04-25T16:01:00/2019-04-25T19:00:00				2019	4	25											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.08	1133.4	1134.2							37.061544	-119.258321	WGS84	0.3	0.000001														point-radius					
BIGC.20190423.04.1.e-fisher	BIGC.20190423.04		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0001-5717-3867 | 0000-0003-2386-8235		2019-04-23T17:21:00/2019-04-23T19:35:00				2019	4	23											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.04	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.20190423.04.2.e-fisher	BIGC.20190423.04		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0001-5717-3867 | 0000-0003-2386-8235		2019-04-23T21:09:00/2019-04-23T23:00:00				2019	4	23											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.04	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.20190423.04.3.e-fisher	BIGC.20190423.04		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0001-5717-3867 | 0000-0003-2386-8235		2019-04-23T23:51:00/2019-04-24T01:23:00				2019	4	23											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.04	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.20191024.09.1.e-fisher	BIGC.20191024.09		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X		2019-10-24T18:47:00/2019-10-24T20:04:00				2019	10	24											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.09	1137.3	1137.9							37.062076	-119.258599	WGS84	0.2	0.000001														point-radius					
BIGC.20190424.05.1.e-fisher	BIGC.20190424.05		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0003-2386-8235 | 0000-0002-6721-6581 | 0000-0002-7776-2789		2019-04-24T16:45:00/2019-04-24T18:02:00				2019	4	24											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.05	1133.3	1133.9							37.059885	-119.257882	WGS84	0.2	0.000001														point-radius					
BIGC.20190424.07.1.e-fisher	BIGC.20190424.07		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0003-3756-1381 | 0000-0003-2386-8235		2019-04-24T20:30:00/2019-04-24T21:40:00				2019	4	24											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.07	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.20190424.07.2.e-fisher	BIGC.20190424.07		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0003-3756-1381 | 0000-0003-2386-8235		2019-04-24T22:17:00/2019-04-24T23:14:00				2019	4	24											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.07	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.20190424.07.3.e-fisher	BIGC.20190424.07		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-6721-6581 | 0000-0003-3756-1381 | 0000-0003-2386-8235		2019-04-24T23:26:00/2019-04-25T00:41:00				2019	4	24											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.07	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.20191023.05.1.e-fisher	BIGC.20191023.05		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X		2019-10-23T16:15:00/2019-10-23T17:40:00				2019	10	23											Habitat: run Subdominant Habitat: pool				CDW				North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.05	1133.3	1133.9							37.059885	-119.257882	WGS84	0.2	0.000001														point-radius					
BIGC.20191022.04.1.e-fisher	BIGC.20191022.04		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-22T16:10:00/2019-10-22T18:15:00				2019	10	22											Habitat: run Subdominant Habitat: pool				Several large log jams				North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.04	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.20191022.04.2.e-fisher	BIGC.20191022.04		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-22T19:30:00/2019-10-22T20:40:00				2019	10	22											Habitat: run Subdominant Habitat: pool								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.04	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.20191022.04.3.e-fisher	BIGC.20191022.04		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X | 0000-0003-2386-8235		2019-10-22T21:30:00/2019-10-22T23:00:00				2019	10	22											Habitat: run Subdominant Habitat: pool								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.04	1139.7	1140.3							37.059224	-119.257139	WGS84	0.2	0.000001														point-radius					
BIGC.20191023.07.1.e-fisher	BIGC.20191023.07		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X		2019-10-23T19:10:00/2019-10-23T20:06:00				2019	10	23											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.07	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.20191023.07.2.e-fisher	BIGC.20191023.07		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X		2019-10-23T20:34:00/2019-10-23T21:39:00				2019	10	23											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.07	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.20191023.07.3.e-fisher	BIGC.20191023.07		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X		2019-10-23T21:58:00/2019-10-23T22:39:00				2019	10	23											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.07	1131.8	1132.8							37.06096	-119.258115	WGS84	0.3	0.000001														point-radius					
BIGC.20191024.08.1.e-fisher	BIGC.20191024.08		Survey	Pass Sampling	Fish electrofishing, gill netting, and fyke netting counts	https://data.neonscience.org/data-products/DP1.20107.001		0000-0002-5454-7533 | 0000-0001-7332-328X		2019-10-24T16:18:00/2019-10-24T17:50:00				2019	10	24											Habitat: run Subdominant Habitat: riffle								North America	Upper Big Creek			United States	US	California	Fresno		Pacific Southwest (D17), Upper Big Creek NEON (BIGC), BIGC.AOS.fish.point.08	1133.4	1134.2							37.061544	-119.258321	WGS84	0.3	0.000001														point-radius					
