media_id	organism_interaction_id	media_subject_category	media_subject_category_iri	media_subject_category_vocabulary	subject_part	subject_orientation	physical_setting
https://inaturalist-open-data.s3.amazonaws.com/photos/79878892/medium.jpg	e0e04348-259c-46d8-badf-0400d767711b	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/80700209/medium.jpg	c4148320-b194-4605-b31d-995c89994e56	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/80712713/medium.jpg	d7e38b0d-50d4-47b7-a59c-8fd4bf0db0f9	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/80713130/medium.jpg	d672944d-d47f-4690-a8df-fc488b6764cf	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/80713198/medium.jpg	3cdd28f9-9ef9-4c52-9219-c9ce99ca8fe1	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/80713355/medium.jpg	69306d4b-d522-402c-9b5a-e0bd77f80355	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/80713473/medium.jpeg	5e0b8321-2b84-457b-9ce4-15fe2129ad64	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/92986626/medium.jpeg	055d505a-c4a1-40c6-bf3a-4ebf3d97ff91	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/92991916/medium.jpeg	80d98808-56e1-4f2d-b67d-a156157a01ad	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/93121744/medium.jpeg	4defbeb5-9b6c-44dc-9d3f-6271c21ab180	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/93122599/medium.jpeg	d1aeacd2-5b56-426a-8b87-5fadd74b07be	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/93123891/medium.jpeg	bc3aa7a9-636c-4353-9a17-698af6c7a0e6	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/93124759/medium.jpeg	ff4b76ad-8422-4476-92ca-c005053330fd	organism interaction					
https://static.inaturalist.org/photos/96708617/medium.jpg	fb911aab-61a7-4551-a495-8622b7115f1b	organism interaction					
https://static.inaturalist.org/photos/97189739/medium.jpg	3cd01284-bd09-4e3d-bc33-f823e5814abc	organism interaction					
https://static.inaturalist.org/photos/97190284/medium.jpg	38b80dbc-3ef3-4f28-b053-3a1ecece8e89	organism interaction					
https://static.inaturalist.org/photos/97400709/medium.jpg	80f0b8b7-ad95-417f-8143-933a58fa7c83	organism interaction					
https://static.inaturalist.org/photos/97646534/medium.jpg	015a5d59-ae49-4c80-9806-bd9918ed32fe	organism interaction					
https://static.inaturalist.org/photos/97648583/medium.jpg	097dcab9-560d-45d9-b7cf-c418768a1529	organism interaction					
https://static.inaturalist.org/photos/97650256/medium.jpg	cc3cf408-5727-4e0c-9929-40e5e66c5a82	organism interaction					
https://static.inaturalist.org/photos/97860069/medium.jpg	c95548fe-e6a4-4d24-8a87-faef937c0fbd	organism interaction					
https://static.inaturalist.org/photos/97876323/medium.jpg	28fa4676-ceee-4f58-b2af-7fb207f44cd2	organism interaction					
https://static.inaturalist.org/photos/97876683/medium.jpg	3045fba3-bd89-460e-aa99-902c6dc33c05	organism interaction					
https://static.inaturalist.org/photos/98168082/medium.jpg	76d7057c-bf07-48a0-8369-f90516596b0d	organism interaction					
https://static.inaturalist.org/photos/98613891/medium.jpg	ed1dbca3-d72f-4c3c-9219-e16cd55ef5ee	organism interaction					
https://static.inaturalist.org/photos/98614961/medium.jpg	d687216e-02a9-4e19-a79a-eb66bf50d929	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/104152275/medium.jpg	99d1787d-9bfb-41dc-a1fe-51cd00711195	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/104152345/medium.jpg	d3f97ba7-7f64-4664-8a06-91565155efc4	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/105298751/medium.jpeg	0af1617e-cf30-4c11-99c9-b725fefed1cf	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/107853420/medium.jpg	203a35b4-76c3-4442-bf00-d46405e5d2d8	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/107853425/medium.jpg	f4c0999d-408b-41d7-9b62-1b61ccbce544	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/110216316/medium.jpg	a13788d3-c8b2-4656-90d2-0ec4e25b4adf	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/110216464/medium.jpg	85916841-1685-4afe-af50-f15cdebcea5b	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/110216610/medium.jpeg	3cdc8421-4d22-4f34-9bae-56153fe56657	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/111292511/medium.jpg	70b7689d-2dc2-42ad-9d3c-63d2f7ee0d42	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/118559227/medium.jpeg	d052e511-1e35-4716-9e99-1d468e108996	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/118564760/medium.jpeg	289377d0-3425-47b4-9955-000f0d09b886	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/118721765/medium.jpeg	9d6b4754-4f6f-4db8-b137-b6a15d78986c	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/123203508/medium.jpeg	e781443b-a9bc-459c-aff2-9d59332faa4e	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/123203641/medium.jpeg	acfb4c2f-f64c-42b0-80b4-50aba1873edd	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/123203777/medium.jpeg	aae4e48a-13df-4c2b-a16d-34290406a518	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/127184019/medium.jpeg	607ac25c-97fe-4a5f-8882-19395c1bc3f9	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/127184248/medium.jpeg	00b0e124-f0e4-479d-9d79-f19a8eb84e02	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/127194417/medium.jpeg	3801f4e1-afbd-41d5-943e-4d737fc65931	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/127195663/medium.jpeg	63f10bbe-0562-4c84-8e42-27370c2c9e4f	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/128014233/medium.jpeg	164c9bfd-a00c-4996-b9da-f764a1ce84e7	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/130363899/medium.jpeg	aacbb901-d140-44a5-a643-41268445496b	organism interaction					
https://static.inaturalist.org/photos/157762501/medium.jpg	cf5a8405-2122-439c-8639-be3c45d0608f	organism interaction					
https://inaturalist-open-data.s3.amazonaws.com/photos/186236000/medium.jpeg	32c15b94-94a7-47cf-9501-dd51c75b3530	organism interaction					
