event_id	parent_event_id	preferred_event_name	event_category	event_type	dataset_name	dataset_id	field_number	event_conducted_by	event_conducted_by_id	event_date	event_time	start_day_of_year	end_day_of_year	year	month	day	verbatim_event_date	verbatim_locality	verbatim_elevation	verbatim_depth	verbatim_coordinates	verbatim_latitude	verbatim_longitude	verbatim_coordinate_system	verbatim_srs	georeference_verification_status	habitat	event_effort	field_notes	event_references	event_remarks	location_id	higher_geography_id	higher_geography	continent	water_body	island_group	island	country	country_code	state_province	county	municipality	locality	site_number	minimum_elevation_in_meters	maximum_elevation_in_meters	vertical_datum	minimum_depth_in_meters	maximum_depth_in_meters	minimum_distance_above_surface_in_meters	maximum_distance_above_surface_in_meters	location_remarks	decimal_latitude	decimal_longitude	geodetic_datum	coordinate_uncertainty_in_meters	coordinate_precision	point_radius_spatial_fit	footprint_wkt	footprint_srs	footprint_spatial_fit	georeferenced_by	georeferenced_by_id	georeferenced_date	georeference_protocol	georeference_protocol_id	georeference_sources	georeference_remarks	preferred_spatial_representation	geological_context_id	feedback_url	information_withheld	data_generalizations
eba7da9c-d737-4f63-ba9d-78999811423f	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2018-04-29T21:45:00Z	21:45:00			2018	4	29	2018/04/29 2:45 PM PDT	Verdugo Mountains, Glendale, CA, USA																					United States		California	Los Angeles	Glendale	Verdugo Mountains, Glendale, CA, USA										34.1883763078	-118.2747095254	epsg:4326	11								2018-04-29					point-radius				
2aefa2d7-8253-43b1-8ee6-8302692c7506	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			David Kaposi	109975	2016-04-26T23:13:53Z	23:13:53			2016	4	26	2016-04-26 19:13:53	Franklin Canyon Park, Chaparral Trail																					United States		California	Los Angeles		Franklin Canyon Park, Chaparral Trail										34.123536	-118.406245	epsg:4326									2016-04-26					point-radius				
07137364-715a-4f69-bcc0-6cdefd7e808c	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2018-09-10T18:01:00Z	18:01:00			2018	9	10	2018/09/10 11:01 AM PDT	Central LA, Los Angeles, CA, USA																					United States		California	Los Angeles		Central LA, Los Angeles, CA, USA										34.1067831556	-118.3211667502	epsg:4326	2								2018-09-10					point-radius				
7bd7a183-9537-46ca-98cf-270aaf4e2aac	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Rosalind Helfand	121050	2018-09-15T20:42:00Z	20:42:00			2018	9	15	2018/09/15 1:42 PM PDT	3888 Workman Mill Rd, Whittier, CA 90601, USA																					United States		California	Los Angeles		3888 Workman Mill Rd, Whittier, CA 90601, USA										34.0065001	-118.0525757	epsg:4326	34								2018-09-15					point-radius				
e4402a96-daca-4f90-a839-71af6ab70606	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations				266196	2019-02-08T20:02:44Z	20:02:44			2019	2	8	Fri Feb 08 2019 12:02:44 GMT-0800 (PST)	California, US																					United States		California	Los Angeles		California, US										32.8400448863	-118.4985449514	epsg:4326	5								2019-02-08					point-radius				
ee4a0d52-8393-48a5-9847-92fce36bb7c8	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations				1520013								2019-03-10	Monrovia																					United States		California	Los Angeles		Monrovia										34.154122	-117.986027	epsg:4326	54								2019-03-10					point-radius				
6927f1d9-6842-41c2-83f8-417530e3abda	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-04T18:54:43Z	18:54:43			2019	3	4	2019-03-04 10:54:43 AM PST	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8252830505	-118.3654937744	epsg:4326									2019-03-04	gps		gps		point-radius				
e3633871-c05c-4d5d-92db-326d9a0ff5b1	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-04T18:57:17Z	18:57:17			2019	3	4	2019-03-04 10:57:17 AM PST	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8252372742	-118.3654403687	epsg:4326									2019-03-04	gps		gps		point-radius				
2317edf0-422c-4e00-83b6-ad596759c749	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-04T22:25:16Z	22:25:16			2019	3	4	2019-03-04 2:25:16 PM PST	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8253974915	-118.3655471802	epsg:4326									2019-03-04	gps		gps		point-radius				
d1013f3f-ef67-4f0a-a642-ae9f9e5f194d	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-04T22:26:46Z	22:26:46			2019	3	4	2019-03-04 2:26:46 PM PST	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8253669739	-118.365562439	epsg:4326									2019-03-04	gps		gps		point-radius				
f95c9201-8fd6-4460-81e1-b2d7502c6336	https://www.inaturalist.org/projects/california-pollination-project		observation		iNaturalist research-grade observations			Casey H. Richart	34488	2019-03-04T18:56:53Z	18:56:53			2019	3	4	2019-03-04 10:56:53 AM PST	Los Angeles County, US-CA, US																					United States		California	Los Angeles		Los Angeles County, US-CA, US										32.8251953125	-118.3655395508	epsg:4326									2019-03-04	gps		gps		point-radius				
