identification_id	material_entity_id	media_id	nucleotide_analysis_id	nucleotide_sequence_id	occurrence_id	organism_id	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	taxon_assignment_method	identification_verification_status	identification_remarks	taxon_id	scientific_name_id	geo_classification_code	geo_name	scientific_name	scientific_name_authorship	vernacular_name	taxon_rank	external_classification_source	kingdom	phylum	class	order	family	subfamily	genus	generic_name	subgenus	infrageneric_epithet	specific_epithet	infraspecific_epithet	cultivar_epithet	name_according_to	nomenclatural_code	nomenclatural_status	name_published_in	name_published_in_year	taxon_remarks	feedback_url
fc63ae32-6a65-4d88-868b-45374cf0b180		https://inaturalist-open-data.s3.amazonaws.com/photos/31206832/medium.jpg					San Clemente Island triteleia	true	A				266196	2019-02-08 22:21:35 UTC									Triteleia clementina		San Clemente Island triteleia			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Brodiaeoideae	Triteleia	Triteleia												
e767f113-1df6-47d5-ae99-64fee3f49351		https://inaturalist-open-data.s3.amazonaws.com/photos/32659906/medium.jpg					Allen's Hummingbird	true	A				1520013	2019-03-11 00:10:15 UTC									Selasphorus sasin		Allen's Hummingbird			Animalia	Chordata	Aves	Apodiformes	Trochilidae	Trochilinae	Selasphorus	Selasphorus												
c939b523-4043-482a-93f1-73f643344f9d		https://inaturalist-open-data.s3.amazonaws.com/photos/32820278/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-14 15:15:18 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
71219f2f-373d-4b66-b02e-87a5a48f0265		https://inaturalist-open-data.s3.amazonaws.com/photos/32820282/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-14 15:15:28 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
4f7a17f2-9900-4bd5-a1d0-f979f0687bce		https://inaturalist-open-data.s3.amazonaws.com/photos/32820474/medium.jpeg					Yellow-spotted Bromeliad Fly	true	A			Casey H. Richart	34488	2019-03-14 15:20:13 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
20efdc9d-5620-4ef0-b38f-73aab1199ca7		https://inaturalist-open-data.s3.amazonaws.com/photos/32820532/medium.jpeg					California brittlebush	true	A			Casey H. Richart	34488	2019-03-14 15:22:14 UTC									Encelia californica		California brittlebush			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Encelia	Encelia												
876756ec-4981-4293-9da9-b396beefc252		https://inaturalist-open-data.s3.amazonaws.com/photos/32820607/medium.jpg					Copestylum lentum	true	A			Casey H. Richart	34488	2019-03-14 15:25:18 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
352b5392-126d-4c02-9f08-c0061becf42b		https://inaturalist-open-data.s3.amazonaws.com/photos/32821116/medium.jpeg					Sharp-toothed Sanicle	true	A			Casey H. Richart	34488	2019-03-14 15:37:42 UTC									Sanicula arguta		Sharp-toothed Sanicle			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae	Sanicula	Sanicula												
cbdd3528-f332-429a-b652-cd26cb7b2386		https://inaturalist-open-data.s3.amazonaws.com/photos/32821244/medium.jpeg					Sharp-toothed Sanicle	true	A			Casey H. Richart	34488	2019-03-14 15:41:00 UTC									Sanicula arguta		Sharp-toothed Sanicle			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae	Sanicula	Sanicula												
ba87eed6-5987-4275-96b7-574c81efaec2		https://inaturalist-open-data.s3.amazonaws.com/photos/32821348/medium.jpeg					Sharp-toothed Sanicle	true	A			Casey H. Richart	34488	2019-03-14 15:44:02 UTC									Sanicula arguta		Sharp-toothed Sanicle			Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae	Sanicula	Sanicula												
b59d89b3-8963-47f3-86bd-d9c7a878a18f		https://inaturalist-open-data.s3.amazonaws.com/photos/33120103/medium.jpg					White-bowed Smoothwing	true	A			Sula Vanderplank	246499	2019-03-20 02:54:30 UTC									Scaeva affinis		White-bowed Smoothwing			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Syrphinae	Scaeva	Scaeva												
47a07dca-080b-4d4a-b726-318fddbf13a2		https://inaturalist-open-data.s3.amazonaws.com/photos/33818702/medium.jpeg					San Clemente Island milkvetch	true	A			Casey H. Richart	34488	2019-03-31 16:08:56 UTC									Astragalus nevinii		San Clemente Island milkvetch			Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Faboideae	Astragalus	Astragalus												
4c560989-3cb6-46cc-b6ba-3119bc041739		https://inaturalist-open-data.s3.amazonaws.com/photos/33819513/medium.jpeg					common yarrow	true	A			Casey H. Richart	34488	2019-03-31 16:21:29 UTC									Achillea millefolium		common yarrow			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Achillea	Achillea												
cbddbca9-7131-4130-982e-65e5d2314cce		https://inaturalist-open-data.s3.amazonaws.com/photos/33819647/medium.jpg					Copestylum lentum	true	A			Casey H. Richart	34488	2019-03-31 16:23:37 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
d91aa223-084d-466f-88c6-d496e6fcdd66		https://inaturalist-open-data.s3.amazonaws.com/photos/33819659/medium.jpeg					common yarrow	true	A			Casey H. Richart	34488	2019-03-31 16:23:47 UTC									Achillea millefolium		common yarrow			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Achillea	Achillea												
b3e29809-b630-4a29-9801-40ec6a0393af		https://inaturalist-open-data.s3.amazonaws.com/photos/33819871/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 16:27:42 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
4141817a-d7b7-4d2b-86b5-fe280f490d9b		https://inaturalist-open-data.s3.amazonaws.com/photos/33820016/medium.jpeg					California brittlebush	true	A			Casey H. Richart	34488	2019-03-31 16:30:22 UTC									Encelia californica		California brittlebush			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Encelia	Encelia												
8d16c4ea-1729-495a-8c60-324b945fed40		https://inaturalist-open-data.s3.amazonaws.com/photos/33820160/medium.jpg					Large-tailed Aphideater	true	A			Casey H. Richart	34488	2019-03-31 16:32:49 UTC									Eupeodes volucris		Large-tailed Aphideater			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Syrphinae	Eupeodes	Eupeodes												
e550c8b0-09ff-4388-b444-a3399bfb1e1e		https://inaturalist-open-data.s3.amazonaws.com/photos/33820176/medium.jpg					Yellow-spotted Bromeliad Fly	true	A			Casey H. Richart	34488	2019-03-31 16:33:05 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
886d03ae-115a-44f2-86bf-52ef31772362		https://inaturalist-open-data.s3.amazonaws.com/photos/33820186/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 16:33:10 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
b7a21469-007a-404f-89e4-b5e538e4e476		https://inaturalist-open-data.s3.amazonaws.com/photos/33820195/medium.jpg					Copestylum lentum	true	A			Casey H. Richart	34488	2019-03-31 16:33:17 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
f481ae9f-5fb8-420c-a143-26340b590987		https://inaturalist-open-data.s3.amazonaws.com/photos/33820206/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 16:33:30 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
611ecc08-9bae-4e26-86fb-bf46536888fa		https://inaturalist-open-data.s3.amazonaws.com/photos/33820324/medium.jpg					Yellow-spotted Bromeliad Fly	true	A			Casey H. Richart	34488	2019-03-31 16:35:33 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
eba8956d-9615-425b-a296-628ec8f99c4b		https://inaturalist-open-data.s3.amazonaws.com/photos/33820343/medium.jpeg					California brittlebush	true	A			Casey H. Richart	34488	2019-03-31 16:35:50 UTC									Encelia californica		California brittlebush			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Encelia	Encelia												
231df1bc-e2bd-4f25-ba34-b0431e308ae0		https://inaturalist-open-data.s3.amazonaws.com/photos/33820352/medium.jpg					California Mountain-Digger Bee	true	A			Casey H. Richart	34488	2019-03-31 16:35:59 UTC									Habropoda depressa		California Mountain-Digger Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apinae	Habropoda	Habropoda												
3bbf2e7b-b2de-44fd-9aa6-d86fd94cb7ca		https://inaturalist-open-data.s3.amazonaws.com/photos/33820377/medium.jpeg					San Clemente Island paintbrush	true	A			Casey H. Richart	34488	2019-03-31 16:36:17 UTC									Castilleja grisea		San Clemente Island paintbrush			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae		Castilleja	Castilleja												
136b4d4b-6d8b-460f-b575-2db4faf19607		https://inaturalist-open-data.s3.amazonaws.com/photos/33820500/medium.jpeg					tidy tips	true	A			Casey H. Richart	34488	2019-03-31 16:38:26 UTC									Layia platyglossa		tidy tips			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Layia	Layia												
bcbf1d74-952e-4700-828d-11432054f6a8		https://inaturalist-open-data.s3.amazonaws.com/photos/33820908/medium.jpeg					many-flowered phacelia	true	A			Casey H. Richart	34488	2019-03-31 16:46:00 UTC									Phacelia floribunda		many-flowered phacelia			Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Hydrophylloideae	Phacelia	Phacelia												
e2d553f8-c62c-4454-a2fb-aaf612c8444c		https://inaturalist-open-data.s3.amazonaws.com/photos/33820927/medium.jpg					Large-tailed Aphideater	true	A			Casey H. Richart	34488	2019-03-31 16:46:29 UTC									Eupeodes volucris		Large-tailed Aphideater			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Syrphinae	Eupeodes	Eupeodes												
144ee37a-b7ba-433d-bec0-ed91844258f0		https://inaturalist-open-data.s3.amazonaws.com/photos/33822091/medium.jpg					Anthidium collectum	true	A			Casey H. Richart	34488	2019-03-31 17:05:19 UTC									Anthidium collectum					Animalia	Arthropoda	Insecta	Hymenoptera	Megachilidae	Megachilinae	Anthidium	Anthidium												
b3ac1ee7-25c1-4693-add1-67a3c0d0ae63		https://inaturalist-open-data.s3.amazonaws.com/photos/33822105/medium.jpeg					Acmispon argophyllus argenteus	true	A			Casey H. Richart	34488	2019-03-31 17:05:31 UTC									Acmispon argophyllus argenteus					Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Faboideae	Acmispon	Acmispon												
acce3a2f-fa9f-4ee1-8e7e-9cf628a23c47		https://static.inaturalist.org/photos/270698968/medium.jpg					Western Honey Bee	true	A			Dkt7sc	477693	2023-04-25 06:04:24 UTC									Apis mellifera		Western Honey Bee			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apinae	Apis	Apis												
f75a46cd-f5c9-4697-9ea7-d83bda4d9287		https://inaturalist-open-data.s3.amazonaws.com/photos/33822155/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 17:06:16 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
f86ee571-f88c-4075-ac46-b2f484da3f34		https://inaturalist-open-data.s3.amazonaws.com/photos/33822414/medium.jpg					Copestylum lentum	true	A			Casey H. Richart	34488	2019-03-31 17:09:58 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
e9dbaa02-c666-44a2-b1c8-0404387cd0f2		https://inaturalist-open-data.s3.amazonaws.com/photos/33822451/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 17:10:25 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
78b9a73a-bfc9-4927-b471-89c1238691af		https://inaturalist-open-data.s3.amazonaws.com/photos/33822514/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 17:11:33 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
74d38092-f407-4f3f-9c09-0c0663ad66e7		https://inaturalist-open-data.s3.amazonaws.com/photos/33822529/medium.jpeg					island senecio	true	A			Casey H. Richart	34488	2019-03-31 17:11:43 UTC									Senecio lyonii		island senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Senecio	Senecio												
7e249e79-e232-4f54-8436-23f0d13680f4		https://inaturalist-open-data.s3.amazonaws.com/photos/33822880/medium.jpg					Copestylum marginatum	true	A			Casey H. Richart	34488	2019-03-31 17:16:48 UTC									Copestylum marginatum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
1f8db1e7-a253-427a-bf1e-832847bb6753		https://inaturalist-open-data.s3.amazonaws.com/photos/33822901/medium.jpg					Copestylum lentum	true	A			Casey H. Richart	34488	2019-03-31 17:17:05 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
d59f7019-a4cf-4d37-98b8-682ebe403948		https://inaturalist-open-data.s3.amazonaws.com/photos/33822909/medium.jpg					Yellow-spotted Bromeliad Fly	true	A			Casey H. Richart	34488	2019-03-31 17:17:13 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
47317010-4160-44f4-b4e3-ba8d9119d56f		https://inaturalist-open-data.s3.amazonaws.com/photos/33822978/medium.jpg					leafy malacothrix	true	A			Casey H. Richart	34488	2019-03-31 17:18:25 UTC									Malacothrix foliosa foliosa		leafy malacothrix			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cichorioideae	Malacothrix	Malacothrix												
76dd7bbc-9a7f-432c-b9cc-9958ceb10801		https://inaturalist-open-data.s3.amazonaws.com/photos/33964729/medium.jpeg					Copestylum lentum	true	A			Cedric Lee	12809	2019-04-02 21:08:27 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
2f87cf7e-33ac-49bd-ba75-38d8d7362a26		https://inaturalist-open-data.s3.amazonaws.com/photos/33964750/medium.jpeg					Copestylum lentum	true	A			Cedric Lee	12809	2019-04-02 21:08:27 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
1fefcd35-d366-44f6-b26a-5026351d7b9d		https://inaturalist-open-data.s3.amazonaws.com/photos/33965025/medium.jpeg					Copestylum lentum	true	A			Cedric Lee	12809	2019-04-02 21:08:31 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
0c66984a-68ff-4a1e-9f8d-a12a4d08b3b6		https://inaturalist-open-data.s3.amazonaws.com/photos/33965088/medium.jpeg					Copestylum lentum	true	A			Cedric Lee	12809	2019-04-02 21:08:33 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
3d9cb99c-5b5b-4514-89ee-6a226471db48		https://inaturalist-open-data.s3.amazonaws.com/photos/33965144/medium.jpeg					Yellow-spotted Bromeliad Fly	true	A			Cedric Lee	12809	2019-04-02 21:08:35 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
0733e8b8-e5bc-4420-b5cc-60c8d2f685bc		https://inaturalist-open-data.s3.amazonaws.com/photos/33965268/medium.jpeg					Copestylum lentum	true	A			Cedric Lee	12809	2019-04-02 21:08:42 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
8cdc6a83-1809-4a71-a872-79702e353462		https://inaturalist-open-data.s3.amazonaws.com/photos/33965341/medium.jpeg					Nausigaster unimaculata	true	A			Cedric Lee	12809	2019-04-02 21:08:48 UTC									Nausigaster unimaculata		Single-spotted Dimpleback			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Nausigaster	Nausigaster												
47e520b2-5120-4c10-af78-f857cf2e5f4b		https://inaturalist-open-data.s3.amazonaws.com/photos/33965423/medium.jpeg					Anthidium collectum	true	A			Cedric Lee	12809	2019-04-02 21:08:50 UTC									Anthidium collectum					Animalia	Arthropoda	Insecta	Hymenoptera	Megachilidae	Megachilinae	Anthidium	Anthidium												
3bd672a9-4ad9-40a4-9bc7-1a31f0a58fbd		https://inaturalist-open-data.s3.amazonaws.com/photos/33965530/medium.jpeg					Golden Yarrow	true	A			Cedric Lee	12809	2019-04-02 21:08:51 UTC									Eriophyllum confertiflorum		Golden Yarrow			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Eriophyllum	Eriophyllum												
ec9403df-5721-485c-bb60-3a2f36a71089		https://inaturalist-open-data.s3.amazonaws.com/photos/33965540/medium.jpeg					Yellow-spotted Bromeliad Fly	true	A			Cedric Lee	12809	2019-04-02 21:08:52 UTC									Copestylum avidum		Yellow-spotted Bromeliad Fly			Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
96911318-4538-46e4-bf49-6a85d4f4f2a1		https://inaturalist-open-data.s3.amazonaws.com/photos/33965564/medium.jpeg					Copestylum marginatum	true	A			Cedric Lee	12809	2019-04-02 21:08:53 UTC									Copestylum lentum					Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinae	Copestylum	Copestylum												
c38870d0-423d-4aa0-877f-71b84f3745f8		https://inaturalist-open-data.s3.amazonaws.com/photos/33965579/medium.jpeg					Lemonade Berry	true	A			Cedric Lee	12809	2019-04-02 21:08:54 UTC									Rhus integrifolia		lemonade berry			Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardioideae	Rhus	Rhus												
44408676-1fcb-483d-b070-ce395acbf038		https://inaturalist-open-data.s3.amazonaws.com/photos/33968790/medium.jpeg					Acmispon argophyllus argenteus	true	A			Cedric Lee	12809	2019-04-02 21:08:56 UTC									Acmispon argophyllus argenteus					Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Faboideae	Acmispon	Acmispon												
63a0bc4d-89e9-40b6-84af-4e12b63c297d		https://inaturalist-open-data.s3.amazonaws.com/photos/33969972/medium.jpeg					San Clemente Island Bush-Mallow	true	A			Cedric Lee	12809	2019-04-02 21:08:58 UTC									Malacothamnus clementinus		San Clemente Island bushmallow			Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Malvoideae	Malacothamnus	Malacothamnus												
cffb2f4b-1f38-473c-a30f-1da6d06c23b7		https://inaturalist-open-data.s3.amazonaws.com/photos/33965190/medium.jpeg					Common Yarrow	true	A			Cedric Lee	12809	2019-04-02 21:32:43 UTC									Achillea millefolium		common yarrow			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Achillea	Achillea												
99679538-eda2-4c74-8556-5ca4e56ec4a2		https://inaturalist-open-data.s3.amazonaws.com/photos/33965423/medium.jpeg					Silver Bird's-foot Trefoil	true	A			Cedric Lee	12809	2019-04-02 21:45:43 UTC									Acmispon argophyllus		silver bird's-foot trefoil			Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Faboideae	Acmispon	Acmispon												
42a0a955-cb3f-4e2e-b437-a4db0897fbac		https://inaturalist-open-data.s3.amazonaws.com/photos/34401280/medium.jpg					Mournful Duskywing	true	A			Jenny Hazlehurst	513070	2019-04-08 23:53:00 UTC									Erynnis tristis		Mournful Duskywing			Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	Erynnis	Erynnis												
fab6a698-93dd-4d53-bb1c-dc401fafe92b		https://inaturalist-open-data.s3.amazonaws.com/photos/34674979/medium.jpeg					Alfalfa Looper	true	A			Jenny Hazlehurst	513070	2019-04-12 22:38:21 UTC									Autographa californica		Alfalfa Looper			Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Plusiinae	Autographa	Autographa												
