mediaID	mediaType	subtypeLiteral	subtype	title	modified	MetadataDate	metadataLanguageLiteral	metadataLanguage	commenterLiteral	commenter	comments	reviewerLiteral	reviewer	reviewerComments	available	hasServiceAccessPoint	rights	rightsIRI	Owner	UsageTerms	WebStatement	licenseLogoURL	Credit	attributionLogoURL	attributionLinkURL	fundingAttribution	fundingAttributionID	source	sourceIRI	creator	creatorIRI	providerLiteral	provider	metadataCreatorLiteral	metadataCreator	metadataProviderLiteral	metadataProvider	description	caption	language	languageIRI	CreateDate	timeOfDay	captureDevice	resourceCreationTechnique	collectionCode	collectionID	derivedFrom	accessURI	format	formatIRI	variantLiteral	variant	variantDescription	furtherInformationURL	licensingException	serviceExpectation	hashFunction	hashValue	PixelXDimension	PixelYDimension	feedbackURL
https://inaturalist-open-data.s3.amazonaws.com/photos/35633100/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T19:26:50Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633100/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633131/medium.jpeg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T20:03:50Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633131/medium.jpeg	image/jpeg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633137/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T20:04:14Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633137/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633150/medium.jpeg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T20:08:22Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633150/medium.jpeg	image/jpeg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633156/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T20:08:17Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633156/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633162/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T20:22:52Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633162/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633186/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-11T20:55:49Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633186/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633210/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T16:33:39Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633210/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633258/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T17:28:53Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633258/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633265/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T17:45:00Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633265/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633282/medium.jpeg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T17:45:11Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633282/medium.jpeg	image/jpeg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633298/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T18:27:45Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633298/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633315/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T18:28:41Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633315/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633326/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T18:35:03Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633326/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35633351/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-12T18:49:02Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35633351/medium.jpg	image/jpg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35652511/medium.jpeg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-13T21:40:50Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35652511/medium.jpeg	image/jpeg												
https://inaturalist-open-data.s3.amazonaws.com/photos/35652534/medium.jpg	StillImage																		Casey H. Richart		https://creativecommons.org/licenses/by/4.0/							https://www.inaturalist.org/photos/33820500		Casey H. Richart	34488											2019-04-13T21:41:15Z							https://inaturalist-open-data.s3.amazonaws.com/photos/35652534/medium.jpg	image/jpg												
