eventID,parentEventID,preferredEventName,eventType,eventTypeIRI,eventTypeVocabulary,datasetName,datasetID,fieldNumber,eventConductedBy,eventConductedByID,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,verbatimLocality,verbatimElevation,verbatimDepth,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,georeferenceVerificationStatus,habitat,sampleSizeValue,sampleSizeUnit,eventEffort,fieldNotes,eventCitation,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,minimumElevationInMeters,maximumElevationInMeters,verticalDatum,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedByID,georeferencedDate,georeferenceProtocol,georeferenceProtocolID,georeferenceSources,georeferenceRemarks,informationWithheld,dataGeneralizations,preferredSpatialRepresentation
B 10 0356094,,,MATERIAL GATHERING,,,,,4703,T. Dürbye & A. Kirchhoff,,2009-08-10,,,,,,,10.08.2009,,477m,,,,,,,,"Buchenhangwald, offene sonnige Wegränder, Schläge",,,,,,,,,,Europe,,,,Slovakia,SK,,,,"Banska Bystrica. Gemer Nature reserve, Revuca, Muranski Planina, Road from Muran to Tisovec, trail anlong Hrdzava dolina.",,,,,,,,,48.74750,20.02167,WGS84,,,,,,,,,,,,,,,,
B 10 0242900,,,MATERIAL GATHERING,,,,,4234,C. G. Pringle,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7ddb21fc-fa2f-4575-a594-322e837faa88 | http://viaf.org/viaf/74992245 | http://www.wikidata.org/entity/Q3009492 | https://bionomia.net/Q3009492,1892-09-02,,,,,,,02.09.1892,,,,,,,,,,In porphyritic gravel of the crater,,,,,,,,,,North America,,,,Mexico,MX,,,,State of Mexico. Nevado de Toluca.,,,,,,,,,,,WGS84,,,,,,,,,,,,,,,,
B 10 1088912,,,MATERIAL GATHERING,,,,,295784,"Willing,E. & Willing,R.",,2019-05-02,,,,,,,2019-05-02,,346,,,,,,,,,,,,,,,,,,Europe,,,,Greece,GR,,,,NO Velventos,,,,,,,,,40.28194,22.08194,WGS84,,,,,,,,,,,,,,,,
B 10 0479552,,,MATERIAL GATHERING,,,,,10075,G. Mansion,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b13ff28a-8c37-42bd-9b5b-db1ca3f36ff5 | http://www.wikidata.org/entity/Q18986804,,,,,,,,,,1208 m,,,,,,,,On calcareous cliffs,,,,,,,,,,Europe,,,,Greece,GR,,,,"Peloponnese. Nomos Laconia, Langadas gorges, at the entrance of the parc.",,,,,,,,,37.09361,22.30000,WGS84,,,,,,,,,,,,,,,,
B GT 0004898,,,TISSUE SAMPLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB 5634,,,DNA SAMPLING,,,,,,"Schories, Astrid",,2009-10-29,,,,,,,,,,,,,,,,,,,,,,,Extraction method: NucleoSpin Plant II by Macherey & Nagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB 16392,,,DNA SAMPLING,,,,,,"Weigand, A.",,,,,,,,,,,,,,,,,,,,,,,,,Extraction method: DNeasy Plant Mini Spin Kit by Qiagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
