occurrenceID,eventID,sex,lifeStage,reproductiveCondition,occurrenceStatus,organismID,organismName,taxonID,scientificName,taxonRank
20432407218,20432407218,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407219,20432407219,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407222,20432407222,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407223,20432407223,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407226,20432407226,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407227,20432407227,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407230,20432407230,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407231,20432407231,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407234,20432407234,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407235,20432407235,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407238,20432407238,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407239,20432407239,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407242,20432407242,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407243,20432407243,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407246,20432407246,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407247,20432407247,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407250,20432407250,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407251,20432407251,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407254,20432407254,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407255,20432407255,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407258,20432407258,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407259,20432407259,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407262,20432407262,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407263,20432407263,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407266,20432407266,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407267,20432407267,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407270,20432407270,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407271,20432407271,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407274,20432407274,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407275,20432407275,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407278,20432407278,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407279,20432407279,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407282,20432407282,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407283,20432407283,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407286,20432407286,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407287,20432407287,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407290,20432407290,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407291,20432407291,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407294,20432407294,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407295,20432407295,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407298,20432407298,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407299,20432407299,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407302,20432407302,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407303,20432407303,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407306,20432407306,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407307,20432407307,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407310,20432407310,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407311,20432407311,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407314,20432407314,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407315,20432407315,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407318,20432407318,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407319,20432407319,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407322,20432407322,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407323,20432407323,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407326,20432407326,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407327,20432407327,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407330,20432407330,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407331,20432407331,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407334,20432407334,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407335,20432407335,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407338,20432407338,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407339,20432407339,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407342,20432407342,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407343,20432407343,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407346,20432407346,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407347,20432407347,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407350,20432407350,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407351,20432407351,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407354,20432407354,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407355,20432407355,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407358,20432407358,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407359,20432407359,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407361,20432407361,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407362,20432407362,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407365,20432407365,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407366,20432407366,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407369,20432407369,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407370,20432407370,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407373,20432407373,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407374,20432407374,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407376,20432407376,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407377,20432407377,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407380,20432407380,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407381,20432407381,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407384,20432407384,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407385,20432407385,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407388,20432407388,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407389,20432407389,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407392,20432407392,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407393,20432407393,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407396,20432407396,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407397,20432407397,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407400,20432407400,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407401,20432407401,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407404,20432407404,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407405,20432407405,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407408,20432407408,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407409,20432407409,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407412,20432407412,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407413,20432407413,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407416,20432407416,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407417,20432407417,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407420,20432407420,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407421,20432407421,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407424,20432407424,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407425,20432407425,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407428,20432407428,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407429,20432407429,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407432,20432407432,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407433,20432407433,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407436,20432407436,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407437,20432407437,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407440,20432407440,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407441,20432407441,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407444,20432407444,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407445,20432407445,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407448,20432407448,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407449,20432407449,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407452,20432407452,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407453,20432407453,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407456,20432407456,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407457,20432407457,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407460,20432407460,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407461,20432407461,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407464,20432407464,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407465,20432407465,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407468,20432407468,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407469,20432407469,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407472,20432407472,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407473,20432407473,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407476,20432407476,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407477,20432407477,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407480,20432407480,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407481,20432407481,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407484,20432407484,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407485,20432407485,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407488,20432407488,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407489,20432407489,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407492,20432407492,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407493,20432407493,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407496,20432407496,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407497,20432407497,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407500,20432407500,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407501,20432407501,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407504,20432407504,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407505,20432407505,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407508,20432407508,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407509,20432407509,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407512,20432407512,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407513,20432407513,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407516,20432407516,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407517,20432407517,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407520,20432407520,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407521,20432407521,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407524,20432407524,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407525,20432407525,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407528,20432407528,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407529,20432407529,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407532,20432407532,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407533,20432407533,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407536,20432407536,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407537,20432407537,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407540,20432407540,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407541,20432407541,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407544,20432407544,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407545,20432407545,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407548,20432407548,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407549,20432407549,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407552,20432407552,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407553,20432407553,unknown,,,present,5515867,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
20432407556,20432407556,unknown,,,present,5515868,,urn:lsid:marinespecies.org:taxname:147436,Haematopus ostralegus,species
