occurrence_id	event_id	survey_target_id	recorded_by	recorded_by_id	organism_quantity	organism_quantity_type	organism_quantity_type_iri	organism_quantity_type_vocabulary	sex	life_stage	reproductive_condition	caste	behavior	vitality	establishment_means	degree_of_establishment	pathway	occurrence_status	occurrence_citation	information_withheld	data_generalizations	occurrence_remarks	organism_id	organism_scope	organism_scope_iri	organism_scope_vocabulary	organism_name	organism_remarks	verbatim_identification	taxon_formula	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_verification_status_iri	identificationverificationstatusvocabulary	identificationremarks	taxon_id	kingdom	scientific_name	taxon_rank	taxon_remarks
B 10 0356094_occ	B 10 0356094_occ		T. Dürbye & A. Kirchhoff															present				silica preserved tissue and DNA available at BGBM (same individual)	B 10 0356094	multicellular organism						A											Lunaria rediviva L.	species	
B 10 0242900_occ	B 10 0242900_occ		C. G. Pringle	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7ddb21fc-fa2f-4575-a594-322e837faa88 | http://viaf.org/viaf/74992245 | http://www.wikidata.org/entity/Q3009492 | https://bionomia.net/Q3009492														present					B 10 0242900	multicellular organism						A											Draba nivicola Rose	species	
B 10 1088912_occ	B 10 1088912_occ		Willing,E. & Willing,R.															present				EK 95.19.96	B 10 1088912	multicellular organism						A											Valerianella coronata (L.) DC.	species	
B 10 0479552_occ	B 10 0479552_occ		G. Mansion	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b13ff28a-8c37-42bd-9b5b-db1ca3f36ff5 | http://www.wikidata.org/entity/Q18986804														present					B 10 0479552	multicellular organism						A											Campanula asperuloides subsp. taygetea (Quézel & Contandr.) Greuter & Burdet	subspecies	
