material_entity_id	event_id	material_category	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	collected_by	collected_by_id	object_count	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	information_withheld	data_generalizations	material_entity_remarks	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_event_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id	verbatim_identification	taxon_formula	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_verification_status_iri	identificationverificationstatusvocabulary	identification_remarks	taxon_id	kingdom	scientific_name	taxon_rank	taxon_remarks
B GT 0004898	B 10 0356094_gat	preserved	MaterialSample			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	Herbarium Berolinense		B GT 0004898						Tissue							silica preserved tissue and DNA available at BGBM (same individual)	B 10 0356094_occ	B 10 0356094	B GT 0004898_sam_tis	MATERIAL SAMPLE OF					A													
DB 5634	B 10 0356094_gat	preserved	MaterialSample			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	DNA Bank		DB 5634						gDNA							DNA and voucher from same in situ individual	B 10 0356094_occ	B GT 0004898	DB 5634_sam_dna	DNA SAMPLE OF					A													
DB 16392	B 10 0479552_gat	preserved	MaterialSample			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	DNA Bank		DB 16392						gDNA							DNA and voucher from same in situ population	B 10 0479552_occ	B 10 0479552	DB 16392_sam_dna	DNA SAMPLE OF					A													
B 10 0356094	B 10 0356094_gat	preserved	PreservedSpecimen			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	Herbarium Berolinense		B 10 0356094					4703	herbarium sheet							silica preserved tissue and DNA available at BGBM (same individual)	B 10 0356094_occ								A											Lunaria rediviva L.	species	
B 10 0479552	B 10 0479552_gat	preserved	PreservedSpecimen			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	Herbarium Berolinense		B 10 0479552					10075	herbarium sheet								B 10 0479552_occ								A											Campanula asperuloides subsp. taygetea (Quézel & Contandr.) Greuter & Burdet	subspecies	
B 10 0242900	B 10 0242900_gat	preserved	PreservedSpecimen			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	Herbarium Berolinense		B 10 0242900					4234	herbarium sheet								B 10 0242900_occ								A											Draba nivicola Rose	species	
B 10 1088912	B 10 1088912_gat	preserved	PreservedSpecimen			B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	B	4cf93dd2-06c8-4f49-89bc-a5d0805c6747	Herbarium Berolinense		B 10 1088912					295784	herbarium sheet							EK 95.19.96	B 10 1088912_occ								A											Valerianella coronata (L.) DC.	species	
