tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8315,6213,"67BC","TVL",2,"1",2013,3,6,"0625",57.7749,21.3933,,,"44H1",70,"","Y",""
8315,6214,"67BC","TVL",2,"2",2013,12,4,"1055",57.78,21.4083,,,"44H1",66,"","Y",""
8315,6215,"67BC","TVL",2,"3",2013,10,9,"1620",56.1199,19.5566,,,"41G9",22,"","Y",""
8315,6216,"67BC","TVL",3,"1",2013,3,6,"0730",57.8282,21.3533,,,"44H1",73,"","Y",""
8315,6217,"67BC","TVL",3,"3",2013,10,10,"0725",56.115,19.93,,,"41G9",18,"","Y",""
8315,6218,"67BC","TVL",4,"1",2013,3,6,"0945",57.8333,21.085,,,"44H1",76,"","Y",""
8315,6219,"67BC","TVL",5,"1",2013,3,6,"1145",57.8716,21.055,,,"44H1",80,"","Y",""
8315,6220,"67BC","TVL",5,"2",2013,12,8,"1250",57.5266,21.42,,,"44H1",27,"","Y",""
8315,6221,"67BC","TVL",6,"2",2013,12,9,"0710",57.3549,21.25,,,"43H1",58,"","Y",""
8315,6222,"67BC","TVL",7,"1",2013,3,7,"0615",57.5332,21.1149,,,"44H1",66,"","Y",""
8315,6223,"67BC","TVL",7,"2",2013,12,9,"0900",57.4733,21.1217,,,"43H1",69,"","Y",""
8315,6224,"67BC","TVL",7,"3",2013,10,11,"1635",56.6417,20.0916,,,"42H0",59,"","Y",""
8315,6225,"67BC","TVL",8,"1",2013,3,7,"0835",57.4316,21.2817,,,"43H1",63,"","Y",""
8315,6226,"67BC","TVL",8,"2",2013,12,9,"1050",57.5383,21.1149,,,"44H1",66,"","Y",""
